Reference:  41 apertures in PRDOPSSOC-072
Comparison: 41 apertures in pre_delivery

Number of modified apertures 41. Significant modifications are listed below.
Differences are reported for any text change
and fractional differences greater than 1e-06

Aperture                        Attribute             Reference            Comparison      Difference    Percent
NIS_CEN_OSS                   OSS_Version                  None                   8.4             N/A        N/A

NIS_CEN                       OSS_Version                  None                   8.4             N/A        N/A

NIS_AMI1                      OSS_Version                  None                   8.4             N/A        N/A

NIS_AMI2                      OSS_Version                  None                   8.4             N/A        N/A

NIS_AMI3                      OSS_Version                  None                   8.4             N/A        N/A

NIS_AMI4                      OSS_Version                  None                   8.4             N/A        N/A

NIS_AMI1_F277W_NRM            OSS_Version                  None                   8.4             N/A        N/A

NIS_AMI1_F380M_NRM            OSS_Version                  None                   8.4             N/A        N/A

NIS_AMI1_F430M_NRM            OSS_Version                  None                   8.4             N/A        N/A

NIS_AMI1_F480M_NRM            OSS_Version                  None                   8.4             N/A        N/A

NIS_AMI1_F277W                OSS_Version                  None                   8.4             N/A        N/A

NIS_AMI1_F380M                OSS_Version                  None                   8.4             N/A        N/A

NIS_AMI1_F430M                OSS_Version                  None                   8.4             N/A        N/A

NIS_AMI1_F480M                OSS_Version                  None                   8.4             N/A        N/A

NIS_AMITA                     OSS_Version                  None                   8.4             N/A        N/A

NIS_SOSSTA                    OSS_Version                  None                   8.4             N/A        N/A

NIS_WFSS_OFFSET               OSS_Version                  None                   8.4             N/A        N/A

NIS_WFSS64                    OSS_Version                  None                   8.4             N/A        N/A

NIS_WFSS64R                   OSS_Version                  None                   8.4             N/A        N/A

NIS_WFSS64R3                  OSS_Version                  None                   8.4             N/A        N/A

NIS_WFSS64C                   OSS_Version                  None                   8.4             N/A        N/A

NIS_WFSS64C3                  OSS_Version                  None                   8.4             N/A        N/A

NIS_WFSS128                   OSS_Version                  None                   8.4             N/A        N/A

NIS_WFSS128R                  OSS_Version                  None                   8.4             N/A        N/A

NIS_WFSS128R3                 OSS_Version                  None                   8.4             N/A        N/A

NIS_WFSS128C                  OSS_Version                  None                   8.4             N/A        N/A

NIS_WFSS128C3                 OSS_Version                  None                   8.4             N/A        N/A

NIS_SUB64                     OSS_Version                  None                   8.4             N/A        N/A

NIS_SUB128                    OSS_Version                  None                   8.4             N/A        N/A

NIS_SUB256                    OSS_Version                  None                   8.4             N/A        N/A

NIS_SUBAMPCAL                 OSS_Version                  None                   8.4             N/A        N/A

NIS_SUBSTRIP96                OSS_Version                  None                   8.4             N/A        N/A

NIS_SUBSTRIP256               OSS_Version                  None                   8.4             N/A        N/A

NIS_FP1MIMF                   OSS_Version                  None                   8.4             N/A        N/A

NIS_FP2MIMF                   OSS_Version                  None                   8.4             N/A        N/A

NIS_FP3MIMF                   OSS_Version                  None                   8.4             N/A        N/A

NIS_FP4MIMF                   OSS_Version                  None                   8.4             N/A        N/A

NIS_FP5MIMF                   OSS_Version                  None                   8.4             N/A        N/A

NIS_AMIFULL                   OSS_Version                  None                   8.4             N/A        N/A

NIS_SOSSFULL                  OSS_Version                  None                   8.4             N/A        N/A

NIS_WFSS                      OSS_Version                  None                   8.4             N/A        N/A

