Reference:  33 apertures in PRDOPSSOC-045-003
Comparison: 33 apertures in pre_delivery

Number of modified apertures 32. Significant modifications are listed below.
Differences are reported for any text change
and fractional differences greater than 1e-06

Aperture                        Attribute             Reference            Comparison      Difference    Percent
FGS2_SUB128DIAG                     V2Ref            -10.110791            -10.181332        0.070541     0.6928
FGS2_SUB128DIAG                     V3Ref           -733.792593           -733.668329        0.124264     0.0169
FGS2_SUB128DIAG               V3IdlYAngle            0.19027904             0.2914828        0.101204    34.7203
FGS2_SUB128DIAG               V3SciXAngle          -91.13309198          -91.03188822        0.101204     0.1111
FGS2_SUB128DIAG               V3SciYAngle             0.5720244            0.67322816        0.101204    15.0326

FGS2_SUB128CNTR                     V2Ref                22.845                22.835        0.010000     0.0438
FGS2_SUB128CNTR                     V3Ref              -699.489              -699.423        0.066000     0.0094
FGS2_SUB128CNTR               V3IdlYAngle            0.19027904             0.2914828        0.101204    34.7203
FGS2_SUB128CNTR               V3SciXAngle          -90.79186652          -90.69066276        0.101204     0.1115
FGS2_SUB128CNTR               V3SciYAngle            0.19027904             0.2914828        0.101204    34.7203

FGS2_SUB32LL                        V2Ref            -43.663104            -43.795555        0.132451     0.3024
FGS2_SUB32LL                        V3Ref             -768.8722           -768.688615        0.183585     0.0239
FGS2_SUB32LL                  V3IdlYAngle            0.19027904             0.2914828        0.101204    34.7203
FGS2_SUB32LL                  V3SciXAngle          -91.50170446          -91.40050071        0.101204     0.1106
FGS2_SUB32LL                  V3SciYAngle            0.97319241            1.07439617        0.101204     9.4196

FGS2_SUB32DIAG                      V2Ref            -10.110791            -10.181332        0.070541     0.6928
FGS2_SUB32DIAG                      V3Ref           -733.792593           -733.668329        0.124264     0.0169
FGS2_SUB32DIAG                V3IdlYAngle            0.19027904             0.2914828        0.101204    34.7203
FGS2_SUB32DIAG                V3SciXAngle          -91.13309198          -91.03188822        0.101204     0.1111
FGS2_SUB32DIAG                V3SciYAngle             0.5720244            0.67322816        0.101204    15.0326

FGS2_SUB32CNTR                      V2Ref                22.845                22.835        0.010000     0.0438
FGS2_SUB32CNTR                      V3Ref              -699.489              -699.423        0.066000     0.0094
FGS2_SUB32CNTR                V3IdlYAngle            0.19027904             0.2914828        0.101204    34.7203
FGS2_SUB32CNTR                V3SciXAngle          -90.79186652          -90.69066276        0.101204     0.1115
FGS2_SUB32CNTR                V3SciYAngle            0.19027904             0.2914828        0.101204    34.7203

FGS2_SUB8LL                         V2Ref            -43.663104            -43.795555        0.132451     0.3024
