Reference:  32 apertures in FGS_SIAF_2018-04-17
Comparison: 32 apertures in pre_delivery

Number of modified apertures 32. Significant modifications are listed below.
Differences are reported for any text change
and fractional differences greater than 1e-06

Aperture                        Attribute             Reference            Comparison      Difference    Percent
FGS1_FULL_OSS                  Idl2SciY11     -14.2683321627895    -14.27360514675924        0.005273     0.0369
FGS1_FULL_OSS                  Idl2SciY20 -0.000811082264360496 -0.0008081863683449055        0.000003     0.3570
FGS1_FULL_OSS                  Idl2SciY21  0.000921211040473828 0.0009242058224788094        0.000003     0.3240
FGS1_FULL_OSS                  Idl2SciY22  -0.00286505835193507 -0.002852938515351271        0.000012     0.4230
FGS1_FULL_OSS                  Idl2SciY30  2.53142014776227e-08 2.135811633412474e-08        0.000000    15.6279
FGS1_FULL_OSS                  Idl2SciY31   4.2221534282616e-06 4.223333142584941e-06        0.000000     0.0279
FGS1_FULL_OSS                  Idl2SciY32  5.81413230565888e-08 5.004914557150668e-08        0.000000    13.9181
FGS1_FULL_OSS                  Idl2SciY33  4.17081747604754e-06 4.172363650092821e-06        0.000000     0.0371
FGS1_FULL_OSS                  Idl2SciY40 -8.07856712340003e-11 8.594067395441782e-11        0.000000   194.0017
FGS1_FULL_OSS                  Idl2SciY41 -3.53962949411577e-11 -1.603486256459546e-10        0.000000    77.9254
FGS1_FULL_OSS                  Idl2SciY42  -2.8852788247219e-11 -1.07657422860333e-11        0.000000    62.6873
FGS1_FULL_OSS                  Idl2SciY43 -8.58943435581996e-11 -1.010423927474256e-10        0.000000    14.9918
FGS1_FULL_OSS                  Idl2SciY44  4.92547919472734e-11 -5.92180244181902e-11        0.000000   183.1753

FGS1_FULL                       XSciScale            0.06853766            0.06853116        0.000007     0.0095
FGS1_FULL                       YSciScale            0.07008458            0.07005886        0.000026     0.0367
FGS1_FULL                           V2Ref            207.130658                207.19        0.059342     0.0286
FGS1_FULL                           V3Ref            -699.35723                -697.5        1.857230     0.2656
FGS1_FULL                     V3IdlYAngle             -1.252449           -1.25081713        0.001632     0.1303
FGS1_FULL                     V3SciXAngle            -89.560511          -89.56298058        0.002470     0.0028
FGS1_FULL                     V3SciYAngle             -1.252449           -1.25081713        0.001632     0.1303
FGS1_FULL                       XIdlVert1              -71.8348              -71.8255        0.009300     0.0129
FGS1_FULL                       XIdlVert2               70.4061               70.3952        0.010900     0.0155
FGS1_FULL                       XIdlVert3               69.0145                 69.01        0.004500     0.0065
