Reference:  277 apertures in PRDOPSSOC-M-024
Comparison: 277 apertures in pre_delivery

Number of modified apertures 277. Significant modifications are listed below.
Differences are reported for any text change
and fractional differences greater than 1e-06

Aperture                        Attribute             Reference            Comparison      Difference    Percent
MIRIFU_1ASLICE07                YIdlVert2               -0.1546               -0.1495        0.005100     3.2988
MIRIFU_1ASLICE07                YIdlVert3               -0.3317               -0.3266        0.005100     1.5375
MIRIFU_1ASLICE07                YIdlVert4                0.1622                0.1497        0.012500     7.7065

MIRIFU_1ASLICE08                XIdlVert1                1.7052                1.6241        0.081100     4.7560
MIRIFU_1ASLICE08                XIdlVert2               -1.7234               -1.6492        0.074200     4.3054
MIRIFU_1ASLICE08                XIdlVert3               -1.6993               -1.6251        0.074200     4.3665
MIRIFU_1ASLICE08                XIdlVert4                1.7306                1.6495        0.081100     4.6862
MIRIFU_1ASLICE08                YIdlVert1                0.3387                0.3269        0.011800     3.4839
MIRIFU_1ASLICE08                YIdlVert2               -0.1619                -0.151        0.010900     6.7326
MIRIFU_1ASLICE08                YIdlVert3                -0.339               -0.3281        0.010900     3.2153
MIRIFU_1ASLICE08                YIdlVert4                0.1642                0.1523        0.011900     7.2473

MIRIFU_1ASLICE09                XIdlVert1                1.7001                1.6144        0.085700     5.0409
MIRIFU_1ASLICE09                XIdlVert2               -1.7165               -1.6634        0.053100     3.0935
MIRIFU_1ASLICE09                XIdlVert3               -1.6925               -1.6393        0.053200     3.1433
MIRIFU_1ASLICE09                XIdlVert4                1.7256                1.6398        0.085800     4.9722
MIRIFU_1ASLICE09                YIdlVert1                0.3391                0.3265        0.012600     3.7157
MIRIFU_1ASLICE09                YIdlVert2               -0.1621               -0.1543        0.007800     4.8118
MIRIFU_1ASLICE09                YIdlVert3               -0.3392               -0.3314        0.007800     2.2995
MIRIFU_1ASLICE09                YIdlVert4                0.1645                0.1519        0.012600     7.6596

MIRIFU_1ASLICE10                XIdlVert1                1.7019                1.6294        0.072500     4.2599
MIRIFU_1ASLICE10                XIdlVert2               -1.7359               -1.6634        0.072500     4.1765
MIRIFU_1ASLICE10                XIdlVert3               -1.7119               -1.6393        0.072600     4.2409
MIRIFU_1ASLICE10                XIdlVert4                1.7273                1.6548        0.072500     4.1973
MIRIFU_1ASLICE10                YIdlVert1                0.3406                0.3299        0.010700     3.1415
MIRIFU_1ASLICE10                YIdlVert2               -0.1661               -0.1554        0.010700     6.4419
MIRIFU_1ASLICE10                YIdlVert3               -0.3432               -0.3325        0.010700     3.1177
MIRIFU_1ASLICE10                YIdlVert4                 0.166                0.1553        0.010700     6.4458

MIRIFU_1ASLICE11                XIdlVert1                1.6964                1.6456        0.050800     2.9946
MIRIFU_1ASLICE11                XIdlVert2                -1.729               -1.6433        0.085700     4.9566
MIRIFU_1ASLICE11                XIdlVert3               -1.7049               -1.6192        0.085700     5.0267
MIRIFU_1ASLICE11                XIdlVert4                1.7219                 1.671        0.050900     2.9560
MIRIFU_1ASLICE11                YIdlVert1                 0.341                0.3335        0.007500     2.1994
MIRIFU_1ASLICE11                YIdlVert2               -0.1662               -0.1535        0.012700     7.6414
MIRIFU_1ASLICE11                YIdlVert3               -0.3433               -0.3306        0.012700     3.6994
MIRIFU_1ASLICE11                YIdlVert4                0.1664                0.1588        0.007600     4.5673

MIRIFU_1ASLICE12                XIdlVert1                1.7513                1.6624        0.088900     5.0762
MIRIFU_1ASLICE12                XIdlVert2               -1.6918                -1.663        0.028800     1.7023
MIRIFU_1ASLICE12                XIdlVert3               -1.6677               -1.6389        0.028800     1.7269
MIRIFU_1ASLICE12                XIdlVert4                1.7767                1.6878        0.088900     5.0037
MIRIFU_1ASLICE12                YIdlVert1                0.3503                 0.337        0.013300     3.7967
MIRIFU_1ASLICE12                YIdlVert2               -0.1619               -0.1576        0.004300     2.6560
MIRIFU_1ASLICE12                YIdlVert3                -0.339               -0.3347        0.004300     1.2684
MIRIFU_1ASLICE12                YIdlVert4                0.1757                0.1624        0.013300     7.5697

MIRIFU_1ASLICE13                XIdlVert1                1.7376                1.6397        0.097900     5.6342
MIRIFU_1ASLICE13                XIdlVert2               -1.7218               -1.6684        0.053400     3.1014
MIRIFU_1ASLICE13                XIdlVert3               -1.6977               -1.6443        0.053400     3.1454
MIRIFU_1ASLICE13                XIdlVert4                 1.763                1.6651        0.097900     5.5530
MIRIFU_1ASLICE13                YIdlVert1                0.3495                0.3348        0.014700     4.2060
MIRIFU_1ASLICE13                YIdlVert2               -0.1675               -0.1595        0.008000     4.7761
MIRIFU_1ASLICE13                YIdlVert3               -0.3446               -0.3366        0.008000     2.3215
MIRIFU_1ASLICE13                YIdlVert4                0.1749                0.1602        0.014700     8.4048

MIRIFU_1ASLICE14                XIdlVert1                1.7196                1.6342        0.085400     4.9663
MIRIFU_1ASLICE14                XIdlVert2                -1.703               -1.6454        0.057600     3.3823
MIRIFU_1ASLICE14                XIdlVert3                -1.679               -1.6212        0.057800     3.4425
MIRIFU_1ASLICE14                XIdlVert4                 1.745                1.6596        0.085400     4.8940
MIRIFU_1ASLICE14                YIdlVert1                0.3479                0.3351        0.012800     3.6792
MIRIFU_1ASLICE14                YIdlVert2               -0.1659               -0.1572        0.008700     5.2441
MIRIFU_1ASLICE14                YIdlVert3                -0.343               -0.3343        0.008700     2.5364
MIRIFU_1ASLICE14                YIdlVert4                0.1733                0.1604        0.012900     7.4437

MIRIFU_1ASLICE15                XIdlVert1                1.6796                1.5946        0.085000     5.0607
MIRIFU_1ASLICE15                XIdlVert2               -1.7331               -1.6651        0.068000     3.9236
MIRIFU_1ASLICE15                XIdlVert3                -1.709                -1.641        0.068000     3.9789
MIRIFU_1ASLICE15                XIdlVert4                 1.705                  1.62        0.085000     4.9853
MIRIFU_1ASLICE15                YIdlVert1                0.3431                0.3303        0.012800     3.7307
MIRIFU_1ASLICE15                YIdlVert2               -0.1716               -0.1613        0.010300     6.0023
MIRIFU_1ASLICE15                YIdlVert3               -0.3487               -0.3384        0.010300     2.9538
MIRIFU_1ASLICE15                YIdlVert4                0.1685                0.1556        0.012900     7.6558

MIRIFU_1ASLICE16                XIdlVert1                1.7126                1.6359        0.076700     4.4786
MIRIFU_1ASLICE16                XIdlVert2               -1.6888               -1.6085        0.080300     4.7549
MIRIFU_1ASLICE16                XIdlVert3               -1.6647               -1.5844        0.080300     4.8237
MIRIFU_1ASLICE16                XIdlVert4                 1.738                1.6613        0.076700     4.4131
MIRIFU_1ASLICE16                YIdlVert1                0.3493                0.3376        0.011700     3.3496
MIRIFU_1ASLICE16                YIdlVert2                -0.166               -0.1538        0.012200     7.3494
MIRIFU_1ASLICE16                YIdlVert3               -0.3431               -0.3309        0.012200     3.5558
MIRIFU_1ASLICE16                YIdlVert4                0.1747                 0.163        0.011700     6.6972

MIRIFU_1ASLICE17                XIdlVert1                1.7073                1.6246        0.082700     4.8439
MIRIFU_1ASLICE17                XIdlVert2               -1.7172               -1.6953        0.021900     1.2753
MIRIFU_1ASLICE17                XIdlVert3               -1.6931               -1.6712        0.021900     1.2935
MIRIFU_1ASLICE17                XIdlVert4                1.7327                  1.65        0.082700     4.7729
MIRIFU_1ASLICE17                YIdlVert1                0.3496                 0.337        0.012600     3.6041
MIRIFU_1ASLICE17                YIdlVert2               -0.1715               -0.1682        0.003300     1.9242
MIRIFU_1ASLICE17                YIdlVert3               -0.3486               -0.3453        0.003300     0.9466
MIRIFU_1ASLICE17                YIdlVert4                 0.175                0.1623        0.012700     7.2571

MIRIFU_1ASLICE18                XIdlVert1                1.6906                1.5805        0.110100     6.5125
MIRIFU_1ASLICE18                XIdlVert2               -1.7125                 -1.64        0.072500     4.2336
MIRIFU_1ASLICE18                XIdlVert3               -1.6884               -1.6159        0.072500     4.2940
MIRIFU_1ASLICE18                XIdlVert4                 1.716                1.6058        0.110200     6.4219
MIRIFU_1ASLICE18                YIdlVert1                0.3482                0.3314        0.016800     4.8248
MIRIFU_1ASLICE18                YIdlVert2               -0.1719               -0.1608        0.011100     6.4572
MIRIFU_1ASLICE18                YIdlVert3                -0.349               -0.3379        0.011100     3.1805
MIRIFU_1ASLICE18                YIdlVert4                0.1736                0.1567        0.016900     9.7350

MIRIFU_1ASLICE19                XIdlVert1                1.6947                1.6014        0.093300     5.5054
MIRIFU_1ASLICE19                XIdlVert2               -1.7459               -1.7302        0.015700     0.8992
MIRIFU_1ASLICE19                XIdlVert3               -1.7218               -1.7061        0.015700     0.9118
MIRIFU_1ASLICE19                XIdlVert4                1.7202                1.6268        0.093400     5.4296
MIRIFU_1ASLICE19                YIdlVert1                  0.35                0.3357        0.014300     4.0857
MIRIFU_1ASLICE19                YIdlVert2               -0.1783               -0.1758        0.002500     1.4021
MIRIFU_1ASLICE19                YIdlVert3               -0.3554                -0.353        0.002400     0.6753
MIRIFU_1ASLICE19                YIdlVert4                0.1754                 0.161        0.014400     8.2098

MIRIFU_1ASLICE20                XIdlVert1                1.7034                 1.611        0.092400     5.4244
MIRIFU_1ASLICE20                XIdlVert2               -1.7355               -1.6871        0.048400     2.7888
MIRIFU_1ASLICE20                XIdlVert3               -1.7114                -1.663        0.048400     2.8281
MIRIFU_1ASLICE20                XIdlVert4                1.7288                1.6364        0.092400     5.3447
MIRIFU_1ASLICE20                YIdlVert1                0.3525                0.3383        0.014200     4.0284
MIRIFU_1ASLICE20                YIdlVert2               -0.1778               -0.1703        0.007500     4.2182
MIRIFU_1ASLICE20                YIdlVert3               -0.3549               -0.3474        0.007500     2.1133
MIRIFU_1ASLICE20                YIdlVert4                0.1779                0.1636        0.014300     8.0382

MIRIFU_1ASLICE21                XIdlVert1                1.6771                1.6476        0.029500     1.7590
MIRIFU_1ASLICE21                XIdlVert2               -1.7468               -1.7338        0.013000     0.7442
MIRIFU_1ASLICE21                XIdlVert3               -1.7228               -1.7097        0.013100     0.7604
MIRIFU_1ASLICE21                XIdlVert4                1.7025                 1.673        0.029500     1.7327
MIRIFU_1ASLICE21                YIdlVert1                0.3496                0.3451        0.004500     1.2872
MIRIFU_1ASLICE21                YIdlVert2               -0.1807               -0.1787        0.002000     1.1068
MIRIFU_1ASLICE21                YIdlVert3               -0.3578               -0.3558        0.002000     0.5590
MIRIFU_1ASLICE21                YIdlVert4                 0.175                0.1704        0.004600     2.6286

MIRIFU_CHANNEL1B                XIdlVert1                1.4094                1.3198        0.089600     6.3573
MIRIFU_CHANNEL1B                XIdlVert2               -1.9299               -1.8397        0.090200     4.6738
MIRIFU_CHANNEL1B                XIdlVert3               -1.4071               -1.3162        0.090900     6.4601
MIRIFU_CHANNEL1B                XIdlVert4                1.9595                1.8692        0.090300     4.6083
MIRIFU_CHANNEL1B                YIdlVert1                2.0756                 2.063        0.012600     0.6071
MIRIFU_CHANNEL1B                YIdlVert2                 1.605                1.6177        0.012700     0.7851
MIRIFU_CHANNEL1B                YIdlVert3               -2.0931               -2.0793        0.013800     0.6593
MIRIFU_CHANNEL1B                YIdlVert4               -1.5827               -1.5964        0.013700     0.8582

MIRIFU_1BSLICE01                XIdlVert1                1.6712                1.5996        0.071600     4.2843
MIRIFU_1BSLICE01                XIdlVert2                -1.682                -1.657        0.025000     1.4863
MIRIFU_1BSLICE01                XIdlVert3               -1.6572               -1.6321        0.025100     1.5146
MIRIFU_1BSLICE01                XIdlVert4                1.6974                1.6258        0.071600     4.2182
MIRIFU_1BSLICE01                YIdlVert1                0.3249                0.3148        0.010100     3.1086
MIRIFU_1BSLICE01                YIdlVert2               -0.1476               -0.1441        0.003500     2.3713
MIRIFU_1BSLICE01                YIdlVert3               -0.3237               -0.3202        0.003500     1.0812
