Reference:  75 apertures in NIRSpec_SIAF_fullsca
Comparison: 75 apertures in pre_delivery

Number of modified apertures 75. Significant modifications are listed below.
Differences are reported for any text change
and fractional differences greater than 1e-06

Aperture                        Attribute             Reference            Comparison      Difference    Percent
NRS1_FP2MIMF                     AperType               FULLSCA                  SLIT             N/A        N/A
NRS1_FP2MIMF                     XDetSize                  2048                  None             N/A        N/A
NRS1_FP2MIMF                     YDetSize                  2048                  None             N/A        N/A
NRS1_FP2MIMF                      XDetRef                1134.0                  None             N/A        N/A
NRS1_FP2MIMF                      YDetRef                 185.0                  None             N/A        N/A
NRS1_FP2MIMF                     XSciSize                  2048                  None             N/A        N/A
NRS1_FP2MIMF                     YSciSize                  2048                  None             N/A        N/A
NRS1_FP2MIMF                      XSciRef                1134.0                  None             N/A        N/A
NRS1_FP2MIMF                      YSciRef                 185.0                  None             N/A        N/A
NRS1_FP2MIMF                    XSciScale            0.10354845                  None             N/A        N/A
NRS1_FP2MIMF                    YSciScale            0.10648245                  None             N/A        N/A
NRS1_FP2MIMF                        V2Ref            245.109395            243.398682        1.710713     0.6979
NRS1_FP2MIMF                        V3Ref           -429.269497           -432.253143        2.983646     0.6903
NRS1_FP2MIMF                  V3IdlYAngle          139.24589007          138.80963135        0.436259     0.3133
NRS1_FP2MIMF                 DetSciYAngle                     0                  None             N/A        N/A
NRS1_FP2MIMF                 DetSciParity                     1                  None             N/A        N/A
NRS1_FP2MIMF                  V3SciXAngle           48.06696928                  None             N/A        N/A
NRS1_FP2MIMF                  V3SciYAngle          139.24589007                  None             N/A        N/A
NRS1_FP2MIMF                    XIdlVert1             -116.8041                0.0992      116.903300   100.0849
NRS1_FP2MIMF                    XIdlVert2               92.9605                0.0992       92.861300    99.8933
NRS1_FP2MIMF                    XIdlVert3               95.8363               -0.0992       95.935500   100.1035
NRS1_FP2MIMF                    XIdlVert4             -118.4332               -0.0992      118.334000    99.9162
NRS1_FP2MIMF                    YIdlVert1              -17.0098                 0.227       17.236800   101.3345
NRS1_FP2MIMF                    YIdlVert2              -20.4482               -0.2289       20.219300    98.8806
NRS1_FP2MIMF                    YIdlVert3              195.1773                -0.227      195.404300   100.1163
NRS1_FP2MIMF                    YIdlVert4              199.4361                0.2289      199.207200    99.8852
NRS1_FP2MIMF                   Sci2IdlDeg                     5                  None             N/A        N/A
NRS1_FP2MIMF                   Sci2IdlX00  -0.06043278434864161                  None             N/A        N/A
NRS1_FP2MIMF                   Sci2IdlX10 6.291830183034365e-05                  None             N/A        N/A
NRS1_FP2MIMF                   Sci2IdlX11 -2.020920371935337e-07                  None             N/A        N/A
NRS1_FP2MIMF                   Sci2IdlX20 -2.773327910727479e-10                  None             N/A        N/A
NRS1_FP2MIMF                   Sci2IdlX21 7.885458873015832e-10                  None             N/A        N/A
NRS1_FP2MIMF                   Sci2IdlX22 -1.446722338687932e-10                  None             N/A        N/A
NRS1_FP2MIMF                   Sci2IdlX30  8.75230893598938e-14                  None             N/A        N/A
NRS1_FP2MIMF                   Sci2IdlX31  1.19724883468014e-14                  None             N/A        N/A
NRS1_FP2MIMF                   Sci2IdlX32 9.760538179853622e-14                  None             N/A        N/A
NRS1_FP2MIMF                   Sci2IdlX33 4.053368811552841e-14                  None             N/A        N/A
NRS1_FP2MIMF                   Sci2IdlX40 5.042316088209057e-18                  None             N/A        N/A
NRS1_FP2MIMF                   Sci2IdlX41 -2.828179221919038e-18                  None             N/A        N/A
NRS1_FP2MIMF                   Sci2IdlX42 -6.223473871360868e-19                  None             N/A        N/A
NRS1_FP2MIMF                   Sci2IdlX43 -4.154288180697451e-18                  None             N/A        N/A
NRS1_FP2MIMF                   Sci2IdlX44 -1.634577550100822e-17                  None             N/A        N/A
