Reference:  75 apertures in PRDOPSSOC-045-003
Comparison: 75 apertures in pre_delivery

Number of modified apertures 74. Significant modifications are listed below.
Differences are reported for any text change
and fractional differences greater than 1e-06

Aperture                        Attribute             Reference            Comparison      Difference    Percent
NRS1_FULL_OSS                  Idl2SciX10     16264.98697492135     16235.13755439467       29.849421     0.1835
NRS1_FULL_OSS                  Idl2SciX11    -1921.336839439773    -1966.090141169355       44.753302     2.2763
NRS1_FULL_OSS                  Idl2SciX20    -45.87368406354906    -10.44424043332526       35.429444    77.2326
NRS1_FULL_OSS                  Idl2SciX21     1715.907692768882      1970.38146239399      254.473770    12.9149
NRS1_FULL_OSS                  Idl2SciX22     10916.41902410088     10401.65656225416      514.762462     4.7155
NRS1_FULL_OSS                  Idl2SciX30    -9140.530710119654    -8943.292717601007      197.237993     2.1578
NRS1_FULL_OSS                  Idl2SciX31     698.5917861692592     522.7807958870359      175.810990    25.1665
NRS1_FULL_OSS                  Idl2SciX32    -18099.17373810413    -18875.62465813271      776.450920     4.1135
NRS1_FULL_OSS                  Idl2SciX33    -33304.90944021672     -32497.9490224716      806.960418     2.4229
NRS1_FULL_OSS                  Idl2SciX40    -4419.632326194178    -4715.175156843639      295.542831     6.2679
NRS1_FULL_OSS                  Idl2SciX41     13242.29581435942     12339.43418949343      902.861625     6.8180
NRS1_FULL_OSS                  Idl2SciX42    -3045.492796910981    -2773.159305604111      272.333491     8.9422
NRS1_FULL_OSS                  Idl2SciX43     28064.09752434046     28742.01655366154      677.919029     2.3586
NRS1_FULL_OSS                  Idl2SciX44      50605.6743686215     50038.38088203606      567.293487     1.1210
NRS1_FULL_OSS                  Idl2SciX50     16920.55296437354     17706.32747114685      785.774507     4.4378
NRS1_FULL_OSS                  Idl2SciX51     11846.75297438454     11780.84925192193       65.903722     0.5563
NRS1_FULL_OSS                  Idl2SciX52    -4960.108308454639    -4513.920104930025      446.188204     8.9955
NRS1_FULL_OSS                  Idl2SciX53     3947.101213239831     4284.591046323324      337.489833     7.8768
NRS1_FULL_OSS                  Idl2SciX54    -18965.18191958661    -18633.82125011858      331.360669     1.7472
NRS1_FULL_OSS                  Idl2SciX55     -30194.1155681817    -30029.56549484584      164.550073     0.5450
NRS1_FULL_OSS                  Idl2SciY00    -4477.927161108084    -4470.770690977621        7.156470     0.1598
NRS1_FULL_OSS                  Idl2SciY10     35.20757151084891     227.7560464971255      192.548475    84.5415
NRS1_FULL_OSS                  Idl2SciY11     12642.27254884551     12613.02422491708       29.248324     0.2314
NRS1_FULL_OSS                  Idl2SciY20     845.1901373918167     844.5595695148927        0.630568     0.0746
NRS1_FULL_OSS                  Idl2SciY21     1333.610287639001     1616.887060932112      283.276773    17.5199
NRS1_FULL_OSS                  Idl2SciY22     26951.69113812666     26629.71774886567      321.973389     1.1946
NRS1_FULL_OSS                  Idl2SciY30     271.4691126850536     344.8809185864923       73.411806    21.2861
NRS1_FULL_OSS                  Idl2SciY31    -10586.04885588899    -10532.96648911563       53.082367     0.5014
NRS1_FULL_OSS                  Idl2SciY32    -7312.096027331383      -8362.7840264472     1050.687999    12.5639
NRS1_FULL_OSS                  Idl2SciY33    -99229.64256534025     -97293.8772219322     1935.765343     1.9508
NRS1_FULL_OSS                  Idl2SciY40    -2045.633325369297    -2161.311405912165      115.678081     5.3522
NRS1_FULL_OSS                  Idl2SciY41    -3236.352337545441    -3851.828821180531      615.476484    15.9788
NRS1_FULL_OSS                  Idl2SciY42     10722.93468025674     10455.09556561847      267.839115     2.4978
NRS1_FULL_OSS                  Idl2SciY43     17069.82180897672     18183.44097282734     1113.619164     6.1244
NRS1_FULL_OSS                  Idl2SciY44     156031.6036142766     152919.4356008376     3112.168013     1.9946
NRS1_FULL_OSS                  Idl2SciY50     7212.260718633995     6927.352136516572      284.908582     3.9503
NRS1_FULL_OSS                  Idl2SciY51     18230.84301743983     18271.02977553312       40.186758     0.2199
NRS1_FULL_OSS                  Idl2SciY52     6136.349076484568     6430.826402757167      294.477326     4.5792
NRS1_FULL_OSS                  Idl2SciY53     3859.207259606638     4196.329473513968      337.122214     8.0337
NRS1_FULL_OSS                  Idl2SciY54    -14728.94553415722    -14811.06773864424       82.122204     0.5545
NRS1_FULL_OSS                  Idl2SciY55    -97253.67987395759    -96242.97046878719     1010.709405     1.0393

NRS1_FULL                       XSciScale            0.10325235            0.10331199        0.000060     0.0577
NRS1_FULL                       YSciScale            0.10533853             0.1053755        0.000037     0.0351
