Reference:  206 apertures in PRDOPSSOC-029
Comparison: 206 apertures in new pre-delivery

Number of modified apertures 206. Significant modifications are listed below.
Differences are reported for any text change
and fractional differences greater than 1e-06

Aperture                        Attribute             Reference            Comparison      Difference    Percent
NRCA5_TAGRISMTS32              Idl2SciX30 -6.418074872998355e-06 -6.418114145223748e-06        0.000000     0.0006
NRCA5_TAGRISMTS32              Idl2SciX31 9.350824956187924e-08 9.433451350437802e-08        0.000000     0.8759
NRCA5_TAGRISMTS32              Idl2SciX32 -6.12777154135933e-06 -6.126953196240977e-06        0.000000     0.0134
NRCA5_TAGRISMTS32              Idl2SciX33 3.092400700633508e-07 3.095452265668951e-07        0.000000     0.0986
NRCA5_TAGRISMTS32              Idl2SciX40 -2.825491134661311e-09 -2.835146411717571e-09        0.000000     0.3406
NRCA5_TAGRISMTS32              Idl2SciX41 1.000959022523767e-08 1.000106441251394e-08        0.000000     0.0852
NRCA5_TAGRISMTS32              Idl2SciX42 -2.912121867815707e-09 -2.924424045414845e-09        0.000000     0.4207
NRCA5_TAGRISMTS32              Idl2SciX43 1.040592729140665e-08 1.039773401252152e-08        0.000000     0.0787
NRCA5_TAGRISMTS32              Idl2SciX44 -5.994154128011206e-10 -6.016196291298968e-10        0.000000     0.3664
NRCA5_TAGRISMTS32              Idl2SciX51 -6.317074960552473e-12 -6.31659843310859e-12        0.000000     0.0075
NRCA5_TAGRISMTS32              Idl2SciX53 -7.554724318475529e-12 -7.553701531921199e-12        0.000000     0.0135
NRCA5_TAGRISMTS32              Idl2SciX54  -6.0533083768275e-11 -6.053300780989074e-11        0.000000     0.0001
NRCA5_TAGRISMTS32              Idl2SciX55 -1.205125840816209e-12 -1.204619680430278e-12        0.000000     0.0420
NRCA5_TAGRISMTS32              Idl2SciY00 -0.0004767149712279206 -0.0004771282683577738        0.000000     0.0866
NRCA5_TAGRISMTS32              Idl2SciY10    0.0557623620597915   0.05580473767221254        0.000042     0.0759
NRCA5_TAGRISMTS32              Idl2SciY11     15.58276135451385     15.58290549919416        0.000144     0.0009
NRCA5_TAGRISMTS32              Idl2SciY20 -0.0008481252677852689 -0.0008483440244693648        0.000000     0.0258
NRCA5_TAGRISMTS32              Idl2SciY21 -0.001062736245148861 -0.001063144624414773        0.000000     0.0384
NRCA5_TAGRISMTS32              Idl2SciY22   0.00279032621602296  0.002789641495766059        0.000001     0.0245
NRCA5_TAGRISMTS32              Idl2SciY30 2.674580033788633e-07 2.678487449759723e-07        0.000000     0.1459
NRCA5_TAGRISMTS32              Idl2SciY31 -7.362980523084402e-06 -7.361965271080132e-06        0.000000     0.0138
NRCA5_TAGRISMTS32              Idl2SciY32 -1.691702559018206e-08 -1.58959986218416e-08        0.000000     6.0355
NRCA5_TAGRISMTS32              Idl2SciY33 -7.226668254443956e-06 -7.224945215085534e-06        0.000000     0.0238
NRCA5_TAGRISMTS32              Idl2SciY40   3.9051260067268e-09 3.902947403376061e-09        0.000000     0.0558
NRCA5_TAGRISMTS32              Idl2SciY41 -1.378432438498743e-09 -1.386705960458175e-09        0.000000     0.5966
NRCA5_TAGRISMTS32              Idl2SciY42 1.805446941770238e-08 1.804237366521726e-08        0.000000     0.0670
NRCA5_TAGRISMTS32              Idl2SciY43 -7.102833781390929e-10 -7.184938980916046e-10        0.000000     1.1427
NRCA5_TAGRISMTS32              Idl2SciY44 1.365380565355702e-08 1.364469233432042e-08        0.000000     0.0667
NRCA5_TAGRISMTS32              Idl2SciY50 -9.90748294935694e-13 -9.912738320901874e-13        0.000000     0.0530
NRCA5_TAGRISMTS32              Idl2SciY51 -6.285032594167316e-11 -6.285040260595556e-11        0.000000     0.0001
NRCA5_TAGRISMTS32              Idl2SciY52 -7.061324069388637e-12 -7.062213505512231e-12        0.000000     0.0126
NRCA5_TAGRISMTS32              Idl2SciY54 -6.112437956346497e-12 -6.112777676059974e-12        0.000000     0.0056

NRCA5_TAGRISMTS32_F405N           XDetRef                 821.0                 820.6        0.400000     0.0487
NRCA5_TAGRISMTS32_F405N           YDetRef                 110.0                110.69        0.690000     0.6234
NRCA5_TAGRISMTS32_F405N           XSciRef                  16.0                 16.41        0.410000     2.4985
NRCA5_TAGRISMTS32_F405N           YSciRef                  16.0                 16.69        0.690000     4.1342
NRCA5_TAGRISMTS32_F405N         XSciScale            0.06358973            0.06358924        0.000000     0.0008
NRCA5_TAGRISMTS32_F405N         YSciScale            0.06417214            0.06417123        0.000001     0.0014
