Reference:  301 apertures in PRDOPSSOC-027
Comparison: 305 apertures in pre-delivery

Number of added apertures 4:
	          AperName      XDetRef      YDetRef     XSciSize     YSciSize      XSciRef      YSciRef        V2Ref        V3Ref
	Added NRCA2_FULL_WEDGE_RND       1024.5       1024.5         2048         2048       1024.5       1024.5   117.636055  -420.805416
	Added NRCA4_FULL_WEDGE_BAR       1024.5       1024.5         2048         2048       1024.5       1024.5    50.690424  -420.377577
	Added NRCA5_FULL_WEDGE_BAR       1024.5       1024.5         2048         2048       1024.5       1024.5    83.566379  -446.632984
	Added NRCA5_FULL_WEDGE_RND       1024.5       1024.5         2048         2048       1024.5       1024.5    83.843186   -446.03536
Number of modified apertures 70. Significant modifications are listed below.
Differences are reported for any text change
and fractional differences greater than 1e-06

Aperture                        Attribute             Reference            Comparison      Difference    Percent
NRCA2_MASK210R                  XSciScale            0.03065967             0.0305406        0.000119     0.3884
NRCA2_MASK210R                  YSciScale            0.03075228            0.03083441        0.000082     0.2664
NRCA2_MASK210R                      V2Ref            128.135027            127.193333        0.941694     0.7349
NRCA2_MASK210R                      V3Ref           -403.900413           -405.443776        1.543363     0.3807
NRCA2_MASK210R                V3IdlYAngle           -0.24593673            0.03291198        0.278849   113.3823
NRCA2_MASK210R                V3SciXAngle          -90.34874381          -90.42132823        0.072584     0.0803
NRCA2_MASK210R                V3SciYAngle           -0.24593673            0.03291198        0.278849   113.3823
NRCA2_MASK210R                  XIdlVert1               -9.8483               -9.8042        0.044100     0.4478
NRCA2_MASK210R                  XIdlVert2                9.8078                9.7627        0.045100     0.4598
NRCA2_MASK210R                  XIdlVert3                9.7773                9.7438        0.033500     0.3426
NRCA2_MASK210R                  XIdlVert4               -9.8168               -9.7849        0.031900     0.3250
NRCA2_MASK210R                  YIdlVert1              -10.2953              -10.2468        0.048500     0.4711
NRCA2_MASK210R                  YIdlVert2               -10.337              -10.4072        0.070200     0.6745
NRCA2_MASK210R                  YIdlVert3                 9.353                9.3327        0.020300     0.2170
NRCA2_MASK210R                  YIdlVert4                9.3831                9.4836        0.100500     1.0597
NRCA2_MASK210R                 Sci2IdlX10   0.03065961842944642    0.0305396446711116        0.000120     0.3913
NRCA2_MASK210R                 Sci2IdlX20 -7.787828589834662e-09 -6.935387508143635e-09        0.000000    10.9458
NRCA2_MASK210R                 Sci2IdlX21 -1.51108368411243e-07 -9.317642103363208e-08        0.000000    38.3380
NRCA2_MASK210R                 Sci2IdlX22 -3.770653830264337e-08 -4.536795383498983e-08        0.000000    16.8873
NRCA2_MASK210R                 Sci2IdlX30 1.079056184702399e-11 1.099330992192344e-11        0.000000     1.8443
NRCA2_MASK210R                 Sci2IdlX31 -3.62708039211473e-12 -2.546610690267001e-12        0.000000    29.7890
NRCA2_MASK210R                 Sci2IdlX32  1.15136127660874e-11 1.145645489050025e-11        0.000000     0.4964
NRCA2_MASK210R                 Sci2IdlX33 -1.068117390535827e-12 -8.769859444522383e-12        0.000000    87.8206
NRCA2_MASK210R                 Sci2IdlX40 -9.380911483804433e-16 -5.352115177271414e-16        0.000000    42.9467
NRCA2_MASK210R                 Sci2IdlX41 6.966470212813844e-16 5.876979003632859e-16        0.000000    15.6391
NRCA2_MASK210R                 Sci2IdlX42 -1.156828272729615e-15 3.588050928814477e-16        0.000000   131.0163
NRCA2_MASK210R                 Sci2IdlX43 7.124662752227638e-16  4.75499962434604e-16        0.000000    33.2600
NRCA2_MASK210R                 Sci2IdlX44 -2.19224824475675e-16 -3.049988378101519e-15        0.000000    92.8123
NRCA2_MASK210R                 Sci2IdlX50 1.413146507717247e-19  9.73148724750945e-20        0.000000    31.1360
NRCA2_MASK210R                 Sci2IdlX51 1.032842060839728e-20 5.751011713522484e-20        0.000000    82.0407
