Reference:  189 apertures in PRDOPSSOC-H-015
Comparison: 189 apertures in new pre-delivery

Number of modified apertures 189. Significant modifications are listed below.
Differences are reported for any text change
and fractional differences greater than 1e-06

Aperture                        Attribute             Reference            Comparison      Difference    Percent
NRCA2_FULL_OSS                 Idl2SciX20 -5.51598523771676e-05 -7.712973333706382e-05        0.000022    28.4843
NRCA2_FULL_OSS                 Idl2SciX21  -0.00563596530196558 -0.005626527847650583        0.000009     0.1675
NRCA2_FULL_OSS                 Idl2SciX22   0.00113235866542127  0.001154328546381189        0.000022     1.9033
NRCA2_FULL_OSS                 Idl2SciX30  1.13421252907832e-05 1.135011944577959e-05        0.000000     0.0704
NRCA2_FULL_OSS                 Idl2SciX31  2.07565699818782e-06  2.02241305854335e-06        0.000000     2.5652
NRCA2_FULL_OSS                 Idl2SciX32  1.01975947942703e-05 1.019343771309213e-05        0.000000     0.0408
NRCA2_FULL_OSS                 Idl2SciX33  1.03074193355368e-06 9.909650865085578e-07        0.000000     3.8591
NRCA2_FULL_OSS                 Idl2SciX40  2.37302316293741e-08 2.382575140966325e-08        0.000000     0.4009
NRCA2_FULL_OSS                 Idl2SciX41  2.45588772023333e-08 2.440774715826195e-08        0.000000     0.6154
NRCA2_FULL_OSS                 Idl2SciX42  2.81867569192719e-08 2.818805370193542e-08        0.000000     0.0046
NRCA2_FULL_OSS                 Idl2SciX43  2.46714338575071e-08 2.451677846688833e-08        0.000000     0.6269
NRCA2_FULL_OSS                 Idl2SciX44   4.2314919843746e-09 4.135539943197543e-09        0.000000     2.2676
NRCA2_FULL_OSS                 Idl2SciX50  1.36339252223842e-10 1.363027746318072e-10        0.000000     0.0268
NRCA2_FULL_OSS                 Idl2SciX51 -9.12379231580667e-12 -9.575788025498557e-12        0.000000     4.7202
NRCA2_FULL_OSS                 Idl2SciX52  2.82865419914389e-10 2.828848521255797e-10        0.000000     0.0069
NRCA2_FULL_OSS                 Idl2SciX53 -1.02715842076323e-11 -1.134076263193419e-11        0.000000     9.4277
NRCA2_FULL_OSS                 Idl2SciX54  1.43623535221276e-10 1.436646015994565e-10        0.000000     0.0286
NRCA2_FULL_OSS                 Idl2SciX55 -1.93707920292809e-12 -2.497493628177242e-12        0.000000    22.4391
NRCA2_FULL_OSS                 Idl2SciY10     0.159836551926887   0.03330956135517343        0.126527    79.1602
NRCA2_FULL_OSS                 Idl2SciY11     -32.4309110294461    -32.43128780046061        0.000377     0.0012
NRCA2_FULL_OSS                 Idl2SciY20   0.00292056433297402  0.002915691550500418        0.000005     0.1668
NRCA2_FULL_OSS                 Idl2SciY21  -0.00122670811760449 -0.001271242568998384        0.000045     3.5032
NRCA2_FULL_OSS                 Idl2SciY22  -0.00279176943507278  -0.00278689665259927        0.000005     0.1745
NRCA2_FULL_OSS                 Idl2SciY30  8.47229050508692e-07 8.933323916316809e-07        0.000000     5.1608
NRCA2_FULL_OSS                 Idl2SciY31   1.1815252174459e-05 1.181893178996876e-05        0.000000     0.0311
NRCA2_FULL_OSS                 Idl2SciY32  1.75972903106828e-06 1.794242788112176e-06        0.000000     1.9236
NRCA2_FULL_OSS                 Idl2SciY33  1.08303634779065e-05 1.082343070175661e-05        0.000000     0.0640
NRCA2_FULL_OSS                 Idl2SciY40  4.25998685578446e-09 4.340223354081922e-09        0.000000     1.8487
NRCA2_FULL_OSS                 Idl2SciY41  2.04747209440263e-08 2.065716531240086e-08        0.000000     0.8832
NRCA2_FULL_OSS                 Idl2SciY42  3.19883958082224e-08 3.197552574026516e-08        0.000000     0.0402
NRCA2_FULL_OSS                 Idl2SciY43  1.93829668445304e-08 1.954974430511813e-08        0.000000     0.8531
NRCA2_FULL_OSS                 Idl2SciY44  2.67159218069636e-08 2.663997533131849e-08        0.000000     0.2843
NRCA2_FULL_OSS                 Idl2SciY50 -1.51032711447368e-12 -9.47641681681201e-13        0.000000    37.2559
NRCA2_FULL_OSS                 Idl2SciY51  1.44248736874514e-10 1.442035455983603e-10        0.000000     0.0313
NRCA2_FULL_OSS                 Idl2SciY52 -9.38054895006716e-12 -8.34752780831881e-12        0.000000    11.0124
NRCA2_FULL_OSS                 Idl2SciY53  2.80564569614868e-10 2.805594951689177e-10        0.000000     0.0018
