                  AperName , AperType , XDetRef , YDetRef , XSciSize , YSciSize , XSciRef , YSciRef ,   ColCorner ,   RowCorner ,               V2_ref ,               V3_ref ,                               parent_apertures , dependency_type
#        -------------------------------------------------------------------------------------------------------------------------------------------------------------
# OSS apertures, for on-board computation of small angle maneuvers
                  NRCBS_FULL , COMPOUND ,    87.0 ,  1974.0 ,     None ,     None ,    None ,    None ,        None ,        None ,   -83.63356481229263 ,  -495.97723458549837 , NRCB4_FULL; NRCB2_FULL; NRCB1_FULL; NRCB3_FULL , nircam_compound
                  NRCB1_FULL ,  FULLSCA ,  1024.5 ,  1024.5 ,     2048 ,     2048 ,  1024.5 ,  1024.5 ,           1 ,           1 ,  -122.42798600000000 ,  -457.70675399999999 ,                                           None ,          master
                  NRCB2_FULL ,  FULLSCA ,  1024.5 ,  1024.5 ,     2048 ,     2048 ,  1024.5 ,  1024.5 ,           1 ,           1 ,  -122.67993300000001 ,  -525.42087800000002 ,                                           None ,          master
                  NRCB3_FULL ,  FULLSCA ,  1024.5 ,  1024.5 ,     2048 ,     2048 ,  1024.5 ,  1024.5 ,           1 ,           1 ,   -54.61077800000000 ,  -457.70291300000002 ,                                           None ,          master
                  NRCB4_FULL ,  FULLSCA ,  1024.5 ,  1024.5 ,     2048 ,     2048 ,  1024.5 ,  1024.5 ,           1 ,           1 ,   -54.38670400000000 ,  -525.63030700000002 ,                                           None ,          master
                  NRCB5_FULL ,  FULLSCA ,  1024.5 ,  1024.5 ,     2048 ,     2048 ,  1024.5 ,  1024.5 ,           1 ,           1 ,   -89.40282200000000 ,  -491.36012599999998 ,                                           None ,          master
# Extended Source Imaging (Module-A, backup)
                NRCA1_SUB160 , SUBARRAY ,    80.5 ,  1968.5 ,      160 ,      160 ,    80.5 ,    80.5 ,           1 ,        1889 ,    91.10054449858711 ,  -498.21275302374215 ,                                     NRCA1_FULL ,         default
                NRCA2_SUB160 , SUBARRAY ,  1968.5 ,  1968.5 ,      160 ,      160 ,    80.5 ,    80.5 ,        1889 ,        1889 ,    90.70269330212335 ,  -489.06747768817297 ,                                     NRCA2_FULL ,         default
                NRCA3_SUB160 , SUBARRAY ,  1968.5 ,  1968.5 ,      160 ,      160 ,    80.5 ,    80.5 ,        1889 ,        1889 ,    81.40456031042046 ,  -498.38060979484004 ,                                     NRCA3_FULL ,         default
                NRCA4_SUB160 , SUBARRAY ,    80.5 ,  1968.5 ,      160 ,      160 ,    80.5 ,    80.5 ,           1 ,        1889 ,    81.56557599445554 ,  -489.09175551369765 ,                                     NRCA4_FULL ,         default
                NRCA5_SUB160 , SUBARRAY ,  1024.5 ,  1024.5 ,      160 ,      160 ,    80.5 ,    80.5 ,         945 ,         945 ,    85.92655999999999 ,  -493.50253699999996 ,                                     NRCA5_FULL ,         default
                NRCA1_SUB320 , SUBARRAY ,   160.5 ,  1888.5 ,      320 ,      320 ,   160.5 ,   160.5 ,           1 ,        1729 ,    93.58379204808037 ,  -500.69378783245111 ,                                     NRCA1_FULL ,         default
                NRCA2_SUB320 , SUBARRAY ,  1888.5 ,  1888.5 ,      320 ,      320 ,   160.5 ,   160.5 ,        1729 ,        1729 ,    93.17435948433209 ,  -486.58185172182260 ,                                     NRCA2_FULL ,         default
                NRCA3_SUB320 , SUBARRAY ,  1888.5 ,  1888.5 ,      320 ,      320 ,   160.5 ,   160.5 ,        1729 ,        1729 ,    78.92418586837458 ,  -500.87527986150451 ,                                     NRCA3_FULL ,         default
                NRCA4_SUB320 , SUBARRAY ,   160.5 ,  1888.5 ,      320 ,      320 ,   160.5 ,   160.5 ,           1 ,        1729 ,    79.08117295061805 ,  -486.62229058998668 ,                                     NRCA4_FULL ,         default
                NRCA5_SUB320 , SUBARRAY ,  1024.5 ,  1024.5 ,      320 ,      320 ,   160.5 ,   160.5 ,         865 ,         865 ,    85.92655999999999 ,  -493.50253699999996 ,                                     NRCA5_FULL ,         default
                NRCA1_SUB640 , SUBARRAY ,   320.5 ,  1728.5 ,      640 ,      640 ,   320.5 ,   320.5 ,           1 ,        1409 ,    98.55850845457081 ,  -505.65651892487091 ,                                     NRCA1_FULL ,         default
                NRCA2_SUB640 , SUBARRAY ,  1728.5 ,  1728.5 ,      640 ,      640 ,   320.5 ,   320.5 ,        1409 ,        1409 ,    98.11152062331246 ,  -481.61297548147166 ,                                     NRCA2_FULL ,         default
                NRCA3_SUB640 , SUBARRAY ,  1728.5 ,  1728.5 ,      640 ,      640 ,   320.5 ,   320.5 ,        1409 ,        1409 ,    73.95474774357544 ,  -505.86965005379432 ,                                     NRCA3_FULL ,         default
                NRCA4_SUB640 , SUBARRAY ,   320.5 ,  1728.5 ,      640 ,      640 ,   320.5 ,   320.5 ,           1 ,        1409 ,    74.11718627678835 ,  -481.68091756520801 ,                                     NRCA4_FULL ,         default
                NRCA5_SUB640 , SUBARRAY ,  1024.5 ,  1024.5 ,      640 ,      640 ,   320.5 ,   320.5 ,         705 ,         705 ,    85.92655999999999 ,  -493.50253699999996 ,                                     NRCA5_FULL ,         default
# Extended Source Imaging (Module-B)
                NRCB1_SUB160 , SUBARRAY ,    80.5 ,  1968.5 ,      160 ,      160 ,    80.5 ,    80.5 ,           1 ,        1889 ,   -93.49581471826129 ,  -487.02890099074006 ,                                     NRCB1_FULL ,         default
                NRCB2_SUB160 , SUBARRAY ,  1968.5 ,  1968.5 ,      160 ,      160 ,    80.5 ,    80.5 ,        1889 ,        1889 ,   -93.08840012629766 ,  -496.31267869956974 ,                                     NRCB2_FULL ,         default
                NRCB3_SUB160 , SUBARRAY ,  1968.5 ,  1968.5 ,      160 ,      160 ,    80.5 ,    80.5 ,        1889 ,        1889 ,   -83.60326516936462 ,  -487.04026756918245 ,                                     NRCB3_FULL ,         default
                NRCB4_SUB160 , SUBARRAY ,    80.5 ,  1968.5 ,      160 ,      160 ,    80.5 ,    80.5 ,           1 ,        1889 ,   -83.83458055008332 ,  -496.14816318683722 ,                                     NRCB4_FULL ,         default
                NRCB5_SUB160 , SUBARRAY , 1012.62 , 1028.13 ,      160 ,      160 ,   80.62 ,   80.87 ,         933 ,         949 ,   -88.65616268050478 ,  -491.59061239504047 ,                                     NRCB5_FULL ,         default
                NRCB1_SUB320 , SUBARRAY ,   160.5 ,  1888.5 ,      320 ,      320 ,   160.5 ,   160.5 ,           1 ,        1729 ,   -95.95876438688821 ,  -484.53973500988099 ,                                     NRCB1_FULL ,         default
                NRCB2_SUB320 , SUBARRAY ,  1888.5 ,  1888.5 ,      320 ,      320 ,   160.5 ,   160.5 ,        1729 ,        1729 ,   -95.58156508600489 ,  -498.77897464574284 ,                                     NRCB2_FULL ,         default
                NRCB3_SUB320 , SUBARRAY ,  1888.5 ,  1888.5 ,      320 ,      320 ,   160.5 ,   160.5 ,        1729 ,        1729 ,   -81.13573660731799 ,  -484.55772104729232 ,                                     NRCB3_FULL ,         default
                NRCB4_SUB320 , SUBARRAY ,   160.5 ,  1888.5 ,      320 ,      320 ,   160.5 ,   160.5 ,           1 ,        1729 ,   -81.35456034229111 ,  -498.63765009587593 ,                                     NRCB4_FULL ,         default
                NRCB5_SUB320 , SUBARRAY , 1012.57 , 1028.20 ,      320 ,      320 ,  160.57 ,  160.80 ,         853 ,         869 ,   -88.65302088631266 ,  -491.59503834656761 ,                                     NRCB5_FULL ,         default
                NRCB1_SUB640 , SUBARRAY ,   320.5 ,  1728.5 ,      640 ,      640 ,   320.5 ,   320.5 ,           1 ,        1409 ,  -100.87811835249224 ,  -479.56426542876784 ,                                     NRCB1_FULL ,         default
                NRCB2_SUB640 , SUBARRAY ,  1728.5 ,  1728.5 ,      640 ,      640 ,   320.5 ,   320.5 ,        1409 ,        1409 ,  -100.57539701727160 ,  -503.71129401964970 ,                                     NRCB2_FULL ,         default
                NRCB3_SUB640 , SUBARRAY ,  1728.5 ,  1728.5 ,      640 ,      640 ,   320.5 ,   320.5 ,        1409 ,        1409 ,   -76.20705861198479 ,  -479.59078386093432 ,                                     NRCB3_FULL ,         default
                NRCB4_SUB640 , SUBARRAY ,   320.5 ,  1728.5 ,      640 ,      640 ,   320.5 ,   320.5 ,           1 ,        1409 ,   -76.38635995648079 ,  -503.62132202128305 ,                                     NRCB4_FULL ,         default
                NRCB5_SUB640 , SUBARRAY , 1012.41 , 1028.57 ,      640 ,      640 ,  320.41 ,  320.43 ,         693 ,         709 ,   -88.64296953982463 ,  -491.61842217046126 ,                                     NRCB5_FULL ,         default
# Grism Time Series (Module-A)
       NRCA5_GRISM256_F322W2 , SUBARRAY ,   468.0 ,    35.0 ,     2048 ,      256 ,  1581.0 ,    35.0 ,           1 ,           1 ,    50.64675021491932 ,  -556.57559270737988 ,                                     NRCA5_FULL ,         default
       NRCA5_GRISM128_F322W2 , SUBARRAY ,   468.0 ,    35.0 ,     2048 ,      128 ,  1581.0 ,    35.0 ,           1 ,           1 ,    50.64675021491932 ,  -556.57559270737988 ,                                     NRCA5_FULL ,         default
        NRCA5_GRISM64_F322W2 , SUBARRAY ,   468.0 ,    35.0 ,     2048 ,       64 ,  1581.0 ,    35.0 ,           1 ,           1 ,    50.64675021491932 ,  -556.57559270737988 ,                                     NRCA5_FULL ,         default
        NRCA5_GRISM256_F277W , SUBARRAY ,   468.0 ,    35.0 ,     2048 ,      256 ,  1581.0 ,    35.0 ,           1 ,           1 ,    50.64675021491932 ,  -556.57559270737988 ,                                     NRCA5_FULL ,         default
        NRCA5_GRISM128_F277W , SUBARRAY ,   468.0 ,    35.0 ,     2048 ,      128 ,  1581.0 ,    35.0 ,           1 ,           1 ,    50.64675021491932 ,  -556.57559270737988 ,                                     NRCA5_FULL ,         default
         NRCA5_GRISM64_F277W , SUBARRAY ,   468.0 ,    35.0 ,     2048 ,       64 ,  1581.0 ,    35.0 ,           1 ,           1 ,    50.64675021491932 ,  -556.57559270737988 ,                                     NRCA5_FULL ,         default
        NRCA5_GRISM256_F356W , SUBARRAY ,   468.0 ,    35.0 ,     2048 ,      256 ,  1581.0 ,    35.0 ,           1 ,           1 ,    50.64675021491932 ,  -556.57559270737988 ,                                     NRCA5_FULL ,         default
        NRCA5_GRISM128_F356W , SUBARRAY ,   468.0 ,    35.0 ,     2048 ,      128 ,  1581.0 ,    35.0 ,           1 ,           1 ,    50.64675021491932 ,  -556.57559270737988 ,                                     NRCA5_FULL ,         default
         NRCA5_GRISM64_F356W , SUBARRAY ,   468.0 ,    35.0 ,     2048 ,       64 ,  1581.0 ,    35.0 ,           1 ,           1 ,    50.64675021491932 ,  -556.57559270737988 ,                                     NRCA5_FULL ,         default
        NRCA5_GRISM256_F444W , SUBARRAY ,  1191.0 ,    35.0 ,     2048 ,      256 ,   858.0 ,    35.0 ,           1 ,           1 ,    96.67206819094696 ,  -556.34900528528669 ,                                     NRCA5_FULL ,         default
        NRCA5_GRISM128_F444W , SUBARRAY ,  1191.0 ,    35.0 ,     2048 ,      128 ,   858.0 ,    35.0 ,           1 ,           1 ,    96.67206819094696 ,  -556.34900528528669 ,                                     NRCA5_FULL ,         default
         NRCA5_GRISM64_F444W , SUBARRAY ,  1191.0 ,    35.0 ,     2048 ,       64 ,   858.0 ,    35.0 ,           1 ,           1 ,    96.67206819094696 ,  -556.34900528528669 ,                                     NRCA5_FULL ,         default
          NRCA5_GRISM_F322W2 ,  FULLSCA ,   468.0 ,   280.0 ,     2048 ,     2048 ,  1581.0 ,   280.0 ,           1 ,           1 ,    50.71548216398075 ,  -540.84460094667963 ,                                     NRCA5_FULL ,         default
           NRCA5_GRISM_F277W ,  FULLSCA ,   468.0 ,   280.0 ,     2048 ,     2048 ,  1581.0 ,   280.0 ,           1 ,           1 ,    50.71548216398075 ,  -540.84460094667963 ,                                     NRCA5_FULL ,         default
           NRCA5_GRISM_F356W ,  FULLSCA ,   468.0 ,   280.0 ,     2048 ,     2048 ,  1581.0 ,   280.0 ,           1 ,           1 ,    50.71548216398075 ,  -540.84460094667963 ,                                     NRCA5_FULL ,         default
           NRCA5_GRISM_F444W ,  FULLSCA ,  1191.0 ,   280.0 ,     2048 ,     2048 ,   858.0 ,   280.0 ,           1 ,           1 ,    96.57624156374709 ,  -540.66762848718315 ,                                     NRCA5_FULL ,         default
