Reference:  202 apertures in PRDOPSSOC-M-026
Comparison: 202 apertures in new pre-delivery

Number of modified apertures 202. Significant modifications are listed below.
Differences are reported for any text change
and fractional differences greater than 1e-06

Aperture                        Attribute             Reference            Comparison      Difference    Percent
NRCA2_FSTAMASK210R             Sci2IdlX54 1.454069708198269e-19 1.454076784275432e-19        0.000000     0.0005
NRCA2_FSTAMASK210R             Sci2IdlX55 -5.623972271455793e-24 3.357352259872947e-24        0.000000   159.6972
NRCA2_FSTAMASK210R             Sci2IdlY10 -4.333910464522615e-05 -4.57438696301161e-05        0.000002     5.2570
NRCA2_FSTAMASK210R             Sci2IdlY11   0.03079100722892907   0.03078371938387943        0.000007     0.0237
NRCA2_FSTAMASK210R             Sci2IdlY20 8.794273873480573e-08 8.846954121344396e-08        0.000000     0.5955
NRCA2_FSTAMASK210R             Sci2IdlY21 2.915751608588787e-08  2.86235081064721e-08        0.000000     1.8315
NRCA2_FSTAMASK210R             Sci2IdlY22 -7.445406302925521e-08 -7.28879226423343e-08        0.000000     2.1035
NRCA2_FSTAMASK210R             Sci2IdlY30 -1.358240396509901e-12 -1.408911906316932e-12        0.000000     3.5965
NRCA2_FSTAMASK210R             Sci2IdlY31 1.014098690064537e-11 1.026685279262819e-11        0.000000     1.2259
NRCA2_FSTAMASK210R             Sci2IdlY32 -3.516056740984111e-12 -3.646515187364018e-12        0.000000     3.5776
NRCA2_FSTAMASK210R             Sci2IdlY33 1.064585566707688e-11 1.079874401491253e-11        0.000000     1.4158
NRCA2_FSTAMASK210R             Sci2IdlY40 2.496783055410585e-16 2.571092057985713e-16        0.000000     2.8902
NRCA2_FSTAMASK210R             Sci2IdlY41 -8.35823979843059e-16 -8.40761557986049e-16        0.000000     0.5873
NRCA2_FSTAMASK210R             Sci2IdlY42 1.037025082079807e-15  1.07899925229471e-15        0.000000     3.8901
NRCA2_FSTAMASK210R             Sci2IdlY43 -7.598892257795634e-16 -7.638186068239929e-16        0.000000     0.5144
NRCA2_FSTAMASK210R             Sci2IdlY44  7.48051353879718e-16 7.804921408563742e-16        0.000000     4.1565
NRCA2_FSTAMASK210R             Sci2IdlY50 3.307851047806521e-21 3.298585956101715e-21        0.000000     0.2801
NRCA2_FSTAMASK210R             Sci2IdlY51 1.585408004260777e-19 1.585401342348076e-19        0.000000     0.0004
NRCA2_FSTAMASK210R             Sci2IdlY52 1.516010372974467e-20 1.514106360190696e-20        0.000000     0.1256
NRCA2_FSTAMASK210R             Sci2IdlY53 2.971774121417194e-19 2.971768316828763e-19        0.000000     0.0002
NRCA2_FSTAMASK210R             Sci2IdlY54 1.079720411044833e-20 1.078767045811384e-20        0.000000     0.0883
NRCA2_FSTAMASK210R             Idl2SciX00  -0.05196625014756506  -0.05247518612382862        0.000509     0.9699
NRCA2_FSTAMASK210R             Idl2SciX10     32.56715437021547     32.57483560644942        0.007681     0.0236
NRCA2_FSTAMASK210R             Idl2SciX11 -0.0003046295483143668 -0.0002421590344607871        0.000062    20.5070
NRCA2_FSTAMASK210R             Idl2SciX20 0.0003612634270550377 0.0003784713331065137        0.000017     4.5467
NRCA2_FSTAMASK210R             Idl2SciX21  0.005423980055835728  0.005388234183644924        0.000036     0.6590
NRCA2_FSTAMASK210R             Idl2SciX22  0.001313886190396438  0.001323354107518645        0.000009     0.7154
NRCA2_FSTAMASK210R             Idl2SciX30 -1.284233173558584e-05 -1.29221422462191e-05        0.000000     0.6176
NRCA2_FSTAMASK210R             Idl2SciX31 3.340788407073421e-06 3.479113894290537e-06        0.000000     3.9759
NRCA2_FSTAMASK210R             Idl2SciX32 -1.147143072682379e-05  -1.1618789676785e-05        0.000000     1.2683
NRCA2_FSTAMASK210R             Idl2SciX33 1.409059429346751e-06 1.452027494836162e-06        0.000000     2.9592
NRCA2_FSTAMASK210R             Idl2SciX40 3.190702656158792e-08 3.210015577927518e-08        0.000000     0.6016
NRCA2_FSTAMASK210R             Idl2SciX41 -2.743381900754055e-08 -2.825288319630995e-08        0.000000     2.8990
NRCA2_FSTAMASK210R             Idl2SciX42 3.806082465282244e-08 3.826972651640494e-08        0.000000     0.5459
NRCA2_FSTAMASK210R             Idl2SciX43 -2.77817668660163e-08 -2.861877404428285e-08        0.000000     2.9247
NRCA2_FSTAMASK210R             Idl2SciX44  5.72115494641418e-09 5.747257358273458e-09        0.000000     0.4542
NRCA2_FSTAMASK210R             Idl2SciX50 -1.362878096284484e-10 -1.362884489631551e-10        0.000000     0.0005
NRCA2_FSTAMASK210R             Idl2SciX51 -9.754928494912775e-12 -9.747345309453543e-12        0.000000     0.0777
NRCA2_FSTAMASK210R             Idl2SciX53 -1.176496031157958e-11 -1.17469985197119e-11        0.000000     0.1527
NRCA2_FSTAMASK210R             Idl2SciX54 -1.436801809456385e-10 -1.436795295039083e-10        0.000000     0.0005
NRCA2_FSTAMASK210R             Idl2SciX55 -2.719943305277827e-12 -2.710522914724467e-12        0.000000     0.3463
NRCA2_FSTAMASK210R             Idl2SciY00  0.009331084752830066   0.01079330150878377        0.001462    13.5474
NRCA2_FSTAMASK210R             Idl2SciY10   0.04666575115409072   0.04926768499565065        0.002602     5.2812
NRCA2_FSTAMASK210R             Idl2SciY11      32.4782090983478     32.48586256522395        0.007653     0.0236
NRCA2_FSTAMASK210R             Idl2SciY20 -0.003030840718231874 -0.003051394874387403        0.000021     0.6736
NRCA2_FSTAMASK210R             Idl2SciY21 -0.0009626634635490438 -0.0009446925772012086        0.000018     1.8668
NRCA2_FSTAMASK210R             Idl2SciY22  0.002543448321136993  0.002490293344903782        0.000053     2.0899
NRCA2_FSTAMASK210R             Idl2SciY30 1.291434657034165e-06 1.337448262673762e-06        0.000000     3.4404
NRCA2_FSTAMASK210R             Idl2SciY31 -1.311317474627488e-05 -1.324836256121666e-05        0.000000     1.0204
NRCA2_FSTAMASK210R             Idl2SciY32 3.058401866110512e-06 3.195797442509834e-06        0.000000     4.2993
NRCA2_FSTAMASK210R             Idl2SciY33 -1.181265703731141e-05 -1.200375789398743e-05        0.000000     1.5920
NRCA2_FSTAMASK210R             Idl2SciY40 -5.234011246370227e-09 -5.442005257152904e-09        0.000000     3.8220
NRCA2_FSTAMASK210R             Idl2SciY41 2.748906497434455e-08 2.763936289862241e-08        0.000000     0.5438
NRCA2_FSTAMASK210R             Idl2SciY42 -3.696901015566897e-08 -3.819319156511813e-08        0.000000     3.2052
NRCA2_FSTAMASK210R             Idl2SciY43 2.612407751347888e-08 2.625455888338736e-08        0.000000     0.4970
NRCA2_FSTAMASK210R             Idl2SciY44 -3.075750187590526e-08 -3.174232606278066e-08        0.000000     3.1026
NRCA2_FSTAMASK210R             Idl2SciY50 -7.243841150964305e-13 -7.33837638978405e-13        0.000000     1.2882
NRCA2_FSTAMASK210R             Idl2SciY51 -1.441848034768114e-10 -1.441856064260154e-10        0.000000     0.0006
NRCA2_FSTAMASK210R             Idl2SciY52 -7.937385287320339e-12 -7.954755297048165e-12        0.000000     0.2184
NRCA2_FSTAMASK210R             Idl2SciY54 -6.580473805613401e-12 -6.587838170140379e-12        0.000000     0.1118
NRCA2_FSTAMASK210R             Idl2SciY55 -1.346869247067245e-10 -1.346864930155812e-10        0.000000     0.0003

NRCA5_TAMASK335R                  DDCName          NRC_MASK210R          NRC_MASK335R             N/A        N/A
NRCA5_TAMASK335R                  XDetRef                1563.0                1558.5        4.500000     0.2879
NRCA5_TAMASK335R                  YDetRef                1552.0                1550.5        1.500000     0.0966
NRCA5_TAMASK335R                  XSciRef                  33.0                  32.5        0.500000     1.5152
NRCA5_TAMASK335R                  YSciRef                  32.0                  32.5        0.500000     1.5385
NRCA5_TAMASK335R                XSciScale            0.06237796            0.06237853        0.000001     0.0009
NRCA5_TAMASK335R                YSciScale            0.06261902            0.06262033        0.000001     0.0021
NRCA5_TAMASK335R                    V2Ref            117.496547            117.216316        0.280231     0.2385
NRCA5_TAMASK335R                    V3Ref           -412.374263           -412.470158        0.095895     0.0232
NRCA5_TAMASK335R              V3IdlYAngle           -0.28400574           -0.28190351        0.002102     0.7402
NRCA5_TAMASK335R              V3SciXAngle          -90.40268777          -90.39984836        0.002839     0.0031
NRCA5_TAMASK335R              V3SciYAngle           -0.28400574           -0.28190351        0.002102     0.7402
NRCA5_TAMASK335R                XIdlVert1               -2.0281               -1.9969        0.031200     1.5384
NRCA5_TAMASK335R                XIdlVert2                1.9653                1.9965        0.031200     1.5627
NRCA5_TAMASK335R                XIdlVert3                1.9641                1.9953        0.031200     1.5637
NRCA5_TAMASK335R                XIdlVert4               -2.0268               -1.9957        0.031100     1.5344
NRCA5_TAMASK335R                YIdlVert1               -1.9681               -1.9995        0.031400     1.5704
NRCA5_TAMASK335R                YIdlVert2               -1.9766                -2.008        0.031400     1.5637
NRCA5_TAMASK335R                YIdlVert3                2.0313                   2.0        0.031300     1.5409
NRCA5_TAMASK335R                YIdlVert4                2.0393                 2.008        0.031300     1.5348
NRCA5_TAMASK335R               Sci2IdlX10   0.06237783048381435   0.06237839975026994        0.000001     0.0009
NRCA5_TAMASK335R               Sci2IdlX20 -3.888657084871255e-08 -3.744961573977459e-08        0.000000     3.6952
NRCA5_TAMASK335R               Sci2IdlX21 -6.114383826004184e-07 -6.118986584240419e-07        0.000000     0.0752
NRCA5_TAMASK335R               Sci2IdlX22 -1.518922461071028e-07 -1.514006623302596e-07        0.000000     0.3236
NRCA5_TAMASK335R               Sci2IdlX30 1.037800533080372e-10 1.035594332070829e-10        0.000000     0.2126
NRCA5_TAMASK335R               Sci2IdlX31 -1.613235318961608e-11 -1.600348022053074e-11        0.000000     0.7988
NRCA5_TAMASK335R               Sci2IdlX32  1.06733479570304e-10 1.065755313876223e-10        0.000000     0.1480
NRCA5_TAMASK335R               Sci2IdlX33 -4.737968676557058e-12 -4.689172574297725e-12        0.000000     1.0299
NRCA5_TAMASK335R               Sci2IdlX40 -1.178569753345338e-14 -1.168035808596128e-14        0.000000     0.8938
NRCA5_TAMASK335R               Sci2IdlX41 6.090115525128124e-15 6.069615191499286e-15        0.000000     0.3366
NRCA5_TAMASK335R               Sci2IdlX42 -1.442321684684097e-14  -1.4296219724136e-14        0.000000     0.8805
NRCA5_TAMASK335R               Sci2IdlX43 6.237423543129332e-15 6.213138157706699e-15        0.000000     0.3893
NRCA5_TAMASK335R               Sci2IdlX44 -2.818516534334738e-15 -2.797162677570575e-15        0.000000     0.7576
NRCA5_TAMASK335R               Sci2IdlX51 4.685782940162841e-19 4.687719213334764e-19        0.000000     0.0413
NRCA5_TAMASK335R               Sci2IdlX52 9.529095941228494e-18 9.529119180686048e-18        0.000000     0.0002
NRCA5_TAMASK335R               Sci2IdlX53 4.785987238656803e-19 4.789560481803293e-19        0.000000     0.0746
NRCA5_TAMASK335R               Sci2IdlX54 4.715003842498651e-18 4.715022605037473e-18        0.000000     0.0004
NRCA5_TAMASK335R               Sci2IdlX55 2.736715711407017e-20 2.752898300108981e-20        0.000000     0.5878
NRCA5_TAMASK335R               Sci2IdlY10 -0.0001292091299233179 -0.0001284077374891731        0.000001     0.6202
NRCA5_TAMASK335R               Sci2IdlY11   0.06261902469454596   0.06262033449210823        0.000001     0.0021
NRCA5_TAMASK335R               Sci2IdlY20 3.630000324335147e-07  3.62737012458216e-07        0.000000     0.0725
NRCA5_TAMASK335R               Sci2IdlY21 1.166488638767725e-07 1.176397122275803e-07        0.000000     0.8423
NRCA5_TAMASK335R               Sci2IdlY22 -2.606011352749296e-07 -2.611637013632794e-07        0.000000     0.2154
NRCA5_TAMASK335R               Sci2IdlY30 -8.37533029792495e-12 -8.29391382283078e-12        0.000000     0.9721
NRCA5_TAMASK335R               Sci2IdlY31 1.013536733908125e-10 1.011842013560593e-10        0.000000     0.1672
NRCA5_TAMASK335R               Sci2IdlY32 -1.907457461423767e-11 -1.891639350139441e-11        0.000000     0.8293
NRCA5_TAMASK335R               Sci2IdlY33 1.073023092736448e-10 1.072092080832345e-10        0.000000     0.0868
NRCA5_TAMASK335R               Sci2IdlY40 3.943929847587536e-15 3.938922583454952e-15        0.000000     0.1270
NRCA5_TAMASK335R               Sci2IdlY41 -9.562778764422047e-15 -9.469911261239673e-15        0.000000     0.9711
NRCA5_TAMASK335R               Sci2IdlY42 1.388101238104338e-14 1.384626543233392e-14        0.000000     0.2503
NRCA5_TAMASK335R               Sci2IdlY43 -8.335864361152156e-15 -8.251511935125397e-15        0.000000     1.0119
NRCA5_TAMASK335R               Sci2IdlY44 9.340760126433654e-15 9.310085381341077e-15        0.000000     0.3284
NRCA5_TAMASK335R               Sci2IdlY50 1.102257033632626e-19 1.100530152309809e-19        0.000000     0.1567
NRCA5_TAMASK335R               Sci2IdlY51 5.277271657526008e-18 5.277254461433504e-18        0.000000     0.0003
NRCA5_TAMASK335R               Sci2IdlY52 6.335602936591885e-19 6.332106625129922e-19        0.000000     0.0552
NRCA5_TAMASK335R               Sci2IdlY53 9.738791684955287e-18  9.73877411820151e-18        0.000000     0.0002
NRCA5_TAMASK335R               Sci2IdlY54 5.114547008105023e-19 5.112817029230075e-19        0.000000     0.0338
NRCA5_TAMASK335R               Idl2SciX00  -0.02001938492830035  -0.01989784384320004        0.000122     0.6071
NRCA5_TAMASK335R               Idl2SciX10     16.03174170529601     16.03160228721996        0.000139     0.0009
NRCA5_TAMASK335R               Idl2SciX11 -7.241671449857712e-05 -7.304720919215635e-05        0.000001     0.8631
NRCA5_TAMASK335R               Idl2SciX20 0.0001782748893422753 0.0001722322460496949        0.000006     3.3895
NRCA5_TAMASK335R               Idl2SciX21  0.002515275944309376  0.002517097166254444        0.000002     0.0724
NRCA5_TAMASK335R               Idl2SciX22 0.0006290922607623893 0.0006270005706398466        0.000002     0.3325
NRCA5_TAMASK335R               Idl2SciX30 -7.184699605695834e-06 -7.171802999784774e-06        0.000000     0.1795
NRCA5_TAMASK335R               Idl2SciX31 9.592847004112701e-07 9.481147708077219e-07        0.000000     1.1644
NRCA5_TAMASK335R               Idl2SciX32 -6.631690896732839e-06 -6.621920952785148e-06        0.000000     0.1473
NRCA5_TAMASK335R               Idl2SciX33 4.927359857293379e-07 4.892942946561852e-07        0.000000     0.6985
NRCA5_TAMASK335R               Idl2SciX40 1.057479062039797e-08 1.049084246120393e-08        0.000000     0.7939
NRCA5_TAMASK335R               Idl2SciX41 -1.096201179817768e-08 -1.094705618248629e-08        0.000000     0.1364
NRCA5_TAMASK335R               Idl2SciX42 1.194784927943064e-08 1.184781374541534e-08        0.000000     0.8373
NRCA5_TAMASK335R               Idl2SciX43 -1.096514328195516e-08 -1.094738542971688e-08        0.000000     0.1619
NRCA5_TAMASK335R               Idl2SciX44 1.619957498065388e-09 1.604036473614747e-09        0.000000     0.9828
NRCA5_TAMASK335R               Idl2SciX50 -5.996657258871504e-11  -5.9966812309563e-11        0.000000     0.0004
NRCA5_TAMASK335R               Idl2SciX51 -6.534573380518598e-12 -6.532487540305057e-12        0.000000     0.0319
NRCA5_TAMASK335R               Idl2SciX53 -8.021915881376778e-12 -8.017431972194111e-12        0.000000     0.0559
NRCA5_TAMASK335R               Idl2SciX54 -6.056737034794538e-11 -6.056704517899666e-11        0.000000     0.0005
NRCA5_TAMASK335R               Idl2SciX55 -1.436501380553556e-12 -1.434279117646279e-12        0.000000     0.1547
NRCA5_TAMASK335R               Idl2SciY00  0.008819824165811951  0.008880761205091403        0.000061     0.6862
NRCA5_TAMASK335R               Idl2SciY10   0.03351287146351545   0.03330381305196919        0.000209     0.6238
NRCA5_TAMASK335R               Idl2SciY11     15.97022450762439     15.96989384597649        0.000331     0.0021
NRCA5_TAMASK335R               Idl2SciY20 -0.001494203105075091 -0.001493149646262672        0.000001     0.0705
NRCA5_TAMASK335R               Idl2SciY21 -0.0004586162751721227 -0.0004627884692964974        0.000004     0.9015
NRCA5_TAMASK335R               Idl2SciY22   0.00105759361170308  0.001059828383713984        0.000002     0.2109
NRCA5_TAMASK335R               Idl2SciY30 4.318770074298026e-07 4.289011885749357e-07        0.000000     0.6890
NRCA5_TAMASK335R               Idl2SciY31 -7.495718638135762e-06 -7.485500909822785e-06        0.000000     0.1363
NRCA5_TAMASK335R               Idl2SciY32 8.211352664079662e-07 8.109318556879127e-07        0.000000     1.2426
NRCA5_TAMASK335R               Idl2SciY33 -7.017830324790349e-06 -7.011202165129202e-06        0.000000     0.0944
NRCA5_TAMASK335R               Idl2SciY40 -1.646003253761069e-09 -1.640789619332491e-09        0.000000     0.3167
NRCA5_TAMASK335R               Idl2SciY41 9.089876191789694e-09 9.019845198936801e-09        0.000000     0.7704
NRCA5_TAMASK335R               Idl2SciY42 -1.366395504517898e-08 -1.363584861341159e-08        0.000000     0.2057
NRCA5_TAMASK335R               Idl2SciY43  8.20785228765722e-09 8.142468494602488e-09        0.000000     0.7966
NRCA5_TAMASK335R               Idl2SciY44 -1.155426812118993e-08 -1.152984804300048e-08        0.000000     0.2114
NRCA5_TAMASK335R               Idl2SciY50 -7.506517436594365e-13 -7.529564698945903e-13        0.000000     0.3061
NRCA5_TAMASK335R               Idl2SciY51 -6.281454941512015e-11 -6.281489996756678e-11        0.000000     0.0006
NRCA5_TAMASK335R               Idl2SciY52 -6.654665674334665e-12 -6.658572218345717e-12        0.000000     0.0587
NRCA5_TAMASK335R               Idl2SciY53 -1.192435150695976e-10 -1.19243656725839e-10        0.000000     0.0001
NRCA5_TAMASK335R               Idl2SciY54 -5.956917431571789e-12 -5.958413317196205e-12        0.000000     0.0251
NRCA5_TAMASK335R               Idl2SciY55 -5.58515397591429e-11 -5.585132116727986e-11        0.000000     0.0004

NRCA5_FSTAMASK335R                XDetRef                1491.0                1429.5       61.500000     4.1247
NRCA5_FSTAMASK335R                YDetRef                1552.0                1551.5        0.500000     0.0322
NRCA5_FSTAMASK335R                XSciRef                  33.0                  32.5        0.500000     1.5152
NRCA5_FSTAMASK335R                YSciRef                  32.0                  32.5        0.500000     1.5385
NRCA5_FSTAMASK335R              XSciScale            0.06237388            0.06237321        0.000001     0.0011
NRCA5_FSTAMASK335R              YSciScale            0.06262796             0.0626367        0.000009     0.0140
NRCA5_FSTAMASK335R                  V2Ref            113.005598            109.169826        3.835772     3.3943
NRCA5_FSTAMASK335R                  V3Ref           -412.403949           -412.457655        0.053706     0.0130
NRCA5_FSTAMASK335R            V3IdlYAngle           -0.24365595            -0.2092154        0.034441    14.1349
NRCA5_FSTAMASK335R            V3SciXAngle          -90.35479337          -90.31410799        0.040685     0.0450
NRCA5_FSTAMASK335R            V3SciYAngle           -0.24365595            -0.2092154        0.034441    14.1349
NRCA5_FSTAMASK335R              XIdlVert1               -2.0279               -1.9967        0.031200     1.5385
NRCA5_FSTAMASK335R              XIdlVert2                1.9652                1.9964        0.031200     1.5628
NRCA5_FSTAMASK335R              XIdlVert3                 1.964                1.9952        0.031200     1.5638
NRCA5_FSTAMASK335R              XIdlVert4               -2.0267               -1.9955        0.031200     1.5394
NRCA5_FSTAMASK335R              YIdlVert1               -1.9686               -2.0005        0.031900     1.5946
NRCA5_FSTAMASK335R              YIdlVert2               -1.9766               -2.0081        0.031500     1.5686
NRCA5_FSTAMASK335R              YIdlVert3                2.0318                 2.001        0.030800     1.5159
NRCA5_FSTAMASK335R              YIdlVert4                2.0393                 2.008        0.031300     1.5348
NRCA5_FSTAMASK335R             Sci2IdlX10   0.06237375810481841   0.06237310367983832        0.000001     0.0010
NRCA5_FSTAMASK335R             Sci2IdlX20 -1.656463971825752e-08 2.005803147257808e-09        0.000000   112.1089
NRCA5_FSTAMASK335R             Sci2IdlX21 -6.135735487171357e-07 -6.153314969404399e-07        0.000000     0.2857
NRCA5_FSTAMASK335R             Sci2IdlX22 -1.444630542560894e-07 -1.382151289091555e-07        0.000000     4.3249
NRCA5_FSTAMASK335R             Sci2IdlX30 1.006246417144503e-10 9.831390228029669e-11        0.000000     2.2964
NRCA5_FSTAMASK335R             Sci2IdlX31 -1.473227197767719e-11 -1.350451679714469e-11        0.000000     8.3338
NRCA5_FSTAMASK335R             Sci2IdlX32 1.047926884537732e-10 1.033623362184253e-10        0.000000     1.3649
NRCA5_FSTAMASK335R             Sci2IdlX33 -4.211212955896935e-12 -3.75354631401578e-12        0.000000    10.8678
NRCA5_FSTAMASK335R             Sci2IdlX40 -1.00885248205127e-14  -8.6390489587813e-15        0.000000    14.3676
NRCA5_FSTAMASK335R             Sci2IdlX41  6.21940040759382e-15 6.321996888026724e-15        0.000000     1.6228
NRCA5_FSTAMASK335R             Sci2IdlX42 -1.235505716501979e-14 -1.058909122997049e-14        0.000000    14.2935
NRCA5_FSTAMASK335R             Sci2IdlX43 6.301457385698879e-15 6.348285742387183e-15        0.000000     0.7377
NRCA5_FSTAMASK335R             Sci2IdlX44 -2.472431603604945e-15 -2.176862496407156e-15        0.000000    11.9546
NRCA5_FSTAMASK335R             Sci2IdlX50 4.706645361894275e-18 4.706708775975357e-18        0.000000     0.0013
NRCA5_FSTAMASK335R             Sci2IdlX51 4.722946261485434e-19 4.754665148338632e-19        0.000000     0.6671
NRCA5_FSTAMASK335R             Sci2IdlX52 9.529539754658432e-18 9.529914832826199e-18        0.000000     0.0039
NRCA5_FSTAMASK335R             Sci2IdlX53 4.854570196125618e-19 4.913107250650184e-19        0.000000     1.1914
NRCA5_FSTAMASK335R             Sci2IdlX54 4.715362858462961e-18 4.715667446481441e-18        0.000000     0.0065
NRCA5_FSTAMASK335R             Sci2IdlX55 3.047320294843444e-20 3.312435531557153e-20        0.000000     8.0036
NRCA5_FSTAMASK335R             Sci2IdlY10 -0.0001209873943166734 -0.0001141878834389955        0.000007     5.6200
NRCA5_FSTAMASK335R             Sci2IdlY11   0.06262796093286968   0.06263669893417383        0.000009     0.0140
NRCA5_FSTAMASK335R             Sci2IdlY20 3.613257995250855e-07 3.600187213919753e-07        0.000000     0.3617
NRCA5_FSTAMASK335R             Sci2IdlY21 1.315350850568692e-07 1.440678963137956e-07        0.000000     8.6992
NRCA5_FSTAMASK335R             Sci2IdlY22 -2.618006377405384e-07 -2.628780297354052e-07        0.000000     0.4098
NRCA5_FSTAMASK335R             Sci2IdlY30 -7.304629777400633e-12 -6.37459278634881e-12        0.000000    12.7322
NRCA5_FSTAMASK335R             Sci2IdlY31 9.946265710601793e-11 9.809168169553182e-11        0.000000     1.3784
NRCA5_FSTAMASK335R             Sci2IdlY32 -1.713965880800416e-11 -1.546080161532441e-11        0.000000     9.7952
NRCA5_FSTAMASK335R             Sci2IdlY33 1.067556050991004e-10 1.063492217581089e-10        0.000000     0.3807
NRCA5_FSTAMASK335R             Sci2IdlY40 3.990716799728317e-15 4.026147172483363e-15        0.000000     0.8800
NRCA5_FSTAMASK335R             Sci2IdlY41 -8.047306452543811e-15 -6.753607352286839e-15        0.000000    16.0762
NRCA5_FSTAMASK335R             Sci2IdlY42 1.402656576727788e-14 1.413397946934964e-14        0.000000     0.7600
NRCA5_FSTAMASK335R             Sci2IdlY43 -6.937917796442247e-15 -5.744921439832124e-15        0.000000    17.1953
NRCA5_FSTAMASK335R             Sci2IdlY44 9.379328367778452e-15 9.400862568829757e-15        0.000000     0.2291
NRCA5_FSTAMASK335R             Sci2IdlY50 1.069111375207426e-19 1.040819490758472e-19        0.000000     2.6463
NRCA5_FSTAMASK335R             Sci2IdlY51 5.276940358869115e-18    5.276655508769e-18        0.000000     0.0054
NRCA5_FSTAMASK335R             Sci2IdlY52 6.268493975616284e-19 6.211210686477091e-19        0.000000     0.9138
NRCA5_FSTAMASK335R             Sci2IdlY53 9.738452223199996e-18  9.73815865515017e-18        0.000000     0.0030
NRCA5_FSTAMASK335R             Sci2IdlY54 5.081340952801862e-19 5.052995942541528e-19        0.000000     0.5578
NRCA5_FSTAMASK335R             Sci2IdlY55 4.410503342086948e-18 4.410484227807985e-18        0.000000     0.0004
NRCA5_FSTAMASK335R             Idl2SciX00  -0.01795027453787412  -0.01581840325029304        0.002132    11.8765
NRCA5_FSTAMASK335R             Idl2SciX10     16.03289716176315     16.03314621686586        0.000249     0.0016
NRCA5_FSTAMASK335R             Idl2SciX11 -5.771429413288509e-05 -4.454518511270295e-05        0.000013    22.8178
NRCA5_FSTAMASK335R             Idl2SciX20 8.447121683502224e-05 6.120570894655391e-06        0.000078    92.7543
NRCA5_FSTAMASK335R             Idl2SciX21  0.002524049087239346   0.00253098451933763        0.000007     0.2740
NRCA5_FSTAMASK335R             Idl2SciX22 0.0005977518972434221 0.0005712748081542117        0.000026     4.4294
NRCA5_FSTAMASK335R             Idl2SciX30 -7.006172162369757e-06 -6.872686230591149e-06        0.000000     1.9053
NRCA5_FSTAMASK335R             Idl2SciX31 8.162513395179887e-07 6.920311952286579e-07        0.000000    15.2184
NRCA5_FSTAMASK335R             Idl2SciX32 -6.531684149612371e-06 -6.456789540939669e-06        0.000000     1.1466
NRCA5_FSTAMASK335R             Idl2SciX33 4.478890332928455e-07 4.091128422339274e-07        0.000000     8.6575
NRCA5_FSTAMASK335R             Idl2SciX40 9.220472276494686e-09 8.063755900648229e-09        0.000000    12.5451
NRCA5_FSTAMASK335R             Idl2SciX41 -1.108905748550148e-08 -1.118830266014231e-08        0.000000     0.8870
NRCA5_FSTAMASK335R             Idl2SciX42 1.031123802139594e-08 8.914173131786142e-09        0.000000    13.5490
NRCA5_FSTAMASK335R             Idl2SciX43 -1.104611295166565e-08 -1.110594435548012e-08        0.000000     0.5387
NRCA5_FSTAMASK335R             Idl2SciX44 1.355775608716893e-09 1.130399250546626e-09        0.000000    16.6234
NRCA5_FSTAMASK335R             Idl2SciX50 -5.997116037632802e-11 -5.997505396831099e-11        0.000000     0.0065
NRCA5_FSTAMASK335R             Idl2SciX51 -6.494529542015999e-12 -6.460335695736991e-12        0.000000     0.5265
NRCA5_FSTAMASK335R             Idl2SciX52 -1.214907540536995e-10 -1.214894241720168e-10        0.000000     0.0011
NRCA5_FSTAMASK335R             Idl2SciX53 -7.93584579876912e-12 -7.862369293659872e-12        0.000000     0.9259
NRCA5_FSTAMASK335R             Idl2SciX54 -6.056111539605772e-11 -6.055575359096348e-11        0.000000     0.0089
NRCA5_FSTAMASK335R             Idl2SciX55 -1.393849813356119e-12 -1.357448075907408e-12        0.000000     2.6116
NRCA5_FSTAMASK335R             Idl2SciY00   0.01067765942639198    0.0120853195530799        0.001408    11.6477
NRCA5_FSTAMASK335R             Idl2SciY10   0.03136649843145607   0.02957958767614315        0.001787     5.6969
NRCA5_FSTAMASK335R             Idl2SciY11     15.96798057128015     15.96577616560423        0.002204     0.0138
NRCA5_FSTAMASK335R             Idl2SciY20 -0.001488898210554541 -0.001484551311432452        0.000004     0.2920
NRCA5_FSTAMASK335R             Idl2SciY21 -0.0005218348474346579 -0.0005751001285216592        0.000053     9.2619
NRCA5_FSTAMASK335R             Idl2SciY22  0.001061529462233328  0.001065113973587158        0.000004     0.3365
NRCA5_FSTAMASK335R             Idl2SciY30 3.968997512460737e-07 3.667159163683543e-07        0.000000     7.6049
NRCA5_FSTAMASK335R             Idl2SciY31 -7.380511234937188e-06 -7.29353384722169e-06        0.000000     1.1785
NRCA5_FSTAMASK335R             Idl2SciY32  6.93484604336723e-07 5.832050458047299e-07        0.000000    15.9022
NRCA5_FSTAMASK335R             Idl2SciY33 -6.983519621909051e-06 -6.956564306868796e-06        0.000000     0.3860
NRCA5_FSTAMASK335R             Idl2SciY40 -1.65679128494412e-09 -1.665494033619809e-09        0.000000     0.5225
NRCA5_FSTAMASK335R             Idl2SciY41 7.946870122641794e-09 6.970850920896699e-09        0.000000    12.2818
NRCA5_FSTAMASK335R             Idl2SciY42 -1.375269887443344e-08 -1.381815959941607e-08        0.000000     0.4737
NRCA5_FSTAMASK335R             Idl2SciY43 7.123718977858841e-09 6.198489917464417e-09        0.000000    12.9880
