Reference:  320 apertures in PRDOPSSOC-045-003
Comparison: 320 apertures in pre-delivery

Number of modified apertures 48. Significant modifications are listed below.
Differences are reported for any text change
and fractional differences greater than 1e-06

Aperture                        Attribute             Reference            Comparison      Difference    Percent
NRCA2_MASK210R                 Idl2SciX11  -0.00458128700016293 -0.004534380788056184        0.000047     1.0239
NRCA2_MASK210R                 Idl2SciX20 0.0009989686869300554 0.0009949843734206997        0.000004     0.3988
NRCA2_MASK210R                 Idl2SciX21  0.004065420807363412  0.004077552092339701        0.000012     0.2975
NRCA2_MASK210R                 Idl2SciX22  0.004417323647806449  0.004384893902953173        0.000032     0.7341
NRCA2_MASK210R                 Idl2SciX30 -4.016870417112297e-05 -4.007267793826873e-05        0.000000     0.2391
NRCA2_MASK210R                 Idl2SciX31 3.094368272580663e-05 3.091285340052021e-05        0.000000     0.0996
NRCA2_MASK210R                 Idl2SciX32 -0.0001000491428055528 -9.928374564347159e-05        0.000001     0.7650
NRCA2_MASK210R                 Idl2SciX33 0.0001840336275726486 0.0001832378882044772        0.000001     0.4324
NRCA2_MASK210R                 Idl2SciX40  3.16912236042424e-07 3.163646246940981e-07        0.000000     0.1728
NRCA2_MASK210R                 Idl2SciX41 -1.317374283224672e-06 -1.31505640515883e-06        0.000000     0.1759
NRCA2_MASK210R                 Idl2SciX42 -3.64129276824977e-07 -3.619640717049563e-07        0.000000     0.5946
NRCA2_MASK210R                 Idl2SciX43 -4.711492005478858e-06 -4.698865089045005e-06        0.000000     0.2680
NRCA2_MASK210R                 Idl2SciX44 3.183672212430229e-06 3.177929887389506e-06        0.000000     0.1804
NRCA2_MASK210R                 Idl2SciX50 1.307013034947827e-09 1.306839062269651e-09        0.000000     0.0133
NRCA2_MASK210R                 Idl2SciX51 1.232440091268954e-08 1.232484478794112e-08        0.000000     0.0036
NRCA2_MASK210R                 Idl2SciX52 -1.245594560550832e-08 -1.245456329577968e-08        0.000000     0.0111
NRCA2_MASK210R                 Idl2SciX53 -1.621060186241388e-08 -1.620772793414048e-08        0.000000     0.0177
NRCA2_MASK210R                 Idl2SciX54 -6.023954698629899e-08 -6.024116421017973e-08        0.000000     0.0027
NRCA2_MASK210R                 Idl2SciX55 1.643032771611329e-08 1.642947737155318e-08        0.000000     0.0052
NRCA2_MASK210R                 Idl2SciY00  -0.03203471896995325  -0.03172899108903948        0.000306     0.9544
NRCA2_MASK210R                 Idl2SciY10    0.2295670071641525    0.2289405561286213        0.000626     0.2729
NRCA2_MASK210R                 Idl2SciY11     32.41199463595741      32.4117553858777        0.000239     0.0007
NRCA2_MASK210R                 Idl2SciY20 -0.004476652734098674 -0.004475851352223103        0.000001     0.0179
NRCA2_MASK210R                 Idl2SciY21    9.371633798741e-05 8.178961486290525e-05        0.000012    12.7264
NRCA2_MASK210R                 Idl2SciY22  0.002203553909053446  0.002182266596818683        0.000021     0.9660
NRCA2_MASK210R                 Idl2SciY30 -5.21723642856676e-06 -5.190089985952496e-06        0.000000     0.5203
NRCA2_MASK210R                 Idl2SciY31 -1.960535238897514e-05 -1.951674750870489e-05        0.000000     0.4519
NRCA2_MASK210R                 Idl2SciY32 9.926039257508024e-05 9.877218787239457e-05        0.000000     0.4918
NRCA2_MASK210R                 Idl2SciY33 0.0001385262714825996 0.0001382115343925572        0.000000     0.2272
NRCA2_MASK210R                 Idl2SciY40 1.859275923442657e-07 1.857838328924196e-07        0.000000     0.0773
NRCA2_MASK210R                 Idl2SciY41 -2.381555759354931e-07 -2.379109145544715e-07        0.000000     0.1027
NRCA2_MASK210R                 Idl2SciY42 -9.419370645755058e-07 -9.393871806241521e-07        0.000000     0.2707
NRCA2_MASK210R                 Idl2SciY43 2.681976076559466e-06 2.676229788656747e-06        0.000000     0.2143
NRCA2_MASK210R                 Idl2SciY44 1.640034784663218e-06 1.641110092601367e-06        0.000000     0.0655
NRCA2_MASK210R                 Idl2SciY50 -3.919958238000502e-09 -3.919904462158294e-09        0.000000     0.0014
NRCA2_MASK210R                 Idl2SciY51 -3.809527195063031e-09 -3.809680384040882e-09        0.000000     0.0040
NRCA2_MASK210R                 Idl2SciY52 -4.373961370763442e-09 -4.373437435230775e-09        0.000000     0.0120
NRCA2_MASK210R                 Idl2SciY53 -1.745101086458772e-08 -1.745246106573468e-08        0.000000     0.0083
NRCA2_MASK210R                 Idl2SciY54 2.240378469434217e-08 2.240345101895915e-08        0.000000     0.0015
NRCA2_MASK210R                 Idl2SciY55 -2.253186885958635e-09 -2.25287063957558e-09        0.000000     0.0140

NRCA2_FULL_MASK210R               XDetRef                 712.1                 712.7        0.600000     0.0842
NRCA2_FULL_MASK210R               YDetRef                 531.5                 533.3        1.800000     0.3375
NRCA2_FULL_MASK210R               XSciRef                 712.1                 712.7        0.600000     0.0842
NRCA2_FULL_MASK210R               YSciRef                1517.5                1515.7        1.800000     0.1186
NRCA2_FULL_MASK210R             XSciScale            0.03054072            0.03054089        0.000000     0.0006
NRCA2_FULL_MASK210R             YSciScale            0.03084708            0.03084732        0.000000     0.0008
NRCA2_FULL_MASK210R                 V2Ref             127.33826            127.319904        0.018356     0.0144
NRCA2_FULL_MASK210R                 V3Ref           -405.147705            -405.20335        0.055645     0.0137
NRCA2_FULL_MASK210R           V3IdlYAngle            0.03273994            0.03193117        0.000809     2.4703
NRCA2_FULL_MASK210R           V3SciXAngle          -90.37560171          -90.37530409        0.000298     0.0003
NRCA2_FULL_MASK210R           V3SciYAngle            0.03273994            0.03193117        0.000809     2.4703
NRCA2_FULL_MASK210R             XIdlVert1              -21.9552              -21.9729        0.017700     0.0806
NRCA2_FULL_MASK210R             XIdlVert2               41.0125               40.9949        0.017600     0.0429
NRCA2_FULL_MASK210R             XIdlVert3               40.7391               40.7205        0.018600     0.0457
NRCA2_FULL_MASK210R             XIdlVert4              -21.8436              -21.8622        0.018600     0.0851
NRCA2_FULL_MASK210R             YIdlVert1              -46.5153                -46.46        0.055300     0.1189
NRCA2_FULL_MASK210R             YIdlVert2              -46.9154              -46.8591        0.056300     0.1200
NRCA2_FULL_MASK210R             YIdlVert3               16.2664               16.3226        0.056200     0.3443
NRCA2_FULL_MASK210R             YIdlVert4               16.5894               16.6448        0.055400     0.3328
NRCA2_FULL_MASK210R            Sci2IdlX10   0.03053994043800179    0.0305401164278006        0.000000     0.0006
NRCA2_FULL_MASK210R            Sci2IdlX20 -2.851483279780583e-08 -2.840473123128051e-08        0.000000     0.3861
NRCA2_FULL_MASK210R            Sci2IdlX21 -1.148622210877267e-07 -1.152187356561794e-07        0.000000     0.3094
NRCA2_FULL_MASK210R            Sci2IdlX22 -1.406513309134887e-07 -1.396046090370699e-07        0.000000     0.7442
NRCA2_FULL_MASK210R            Sci2IdlX30 3.686329980791101e-11 3.677388384081864e-11        0.000000     0.2426
NRCA2_FULL_MASK210R            Sci2IdlX31 -2.536626980973915e-11 -2.533993053488952e-11        0.000000     0.1038
NRCA2_FULL_MASK210R            Sci2IdlX32 9.092402273546565e-11 9.025423503980736e-11        0.000000     0.7366
NRCA2_FULL_MASK210R            Sci2IdlX33 -1.840091801561593e-10 -1.831777956807168e-10        0.000000     0.4518
NRCA2_FULL_MASK210R            Sci2IdlX40 -1.053327540338118e-14 -1.051484114653146e-14        0.000000     0.1750
NRCA2_FULL_MASK210R            Sci2IdlX41 3.562372197592353e-14 3.556525899032039e-14        0.000000     0.1641
