# NIRCam grism parameter definition file for SIAF
# 
# This file contains the grism parameters.
# 
# Generated 2021-03-24T19:11:51.911 utc
# by gennaro
# 
              aperture_name ,   X1 ,   X2 ,   X3 ,   X4 ,   Y1 ,   Y2 ,   Y3 ,   Y4 ,     DX1 ,     DX2 ,     DX3 ,     DX4 ,     DY1 ,     DY2 ,     DY3 ,     DY4
 NRCA5_GRISMR_WFSS_F444W_CS , 1946 , 1946 , 1150 , 1150 ,    5 , 2044 , 2044 ,    5 ,   921.5 ,   921.5 ,   125.5 ,   125.5 , -1019.5 ,  1019.5 ,  1019.5 , -1019.5
 NRCB5_GRISMR_WFSS_F444W_CS , 1938 , 1938 , 1142 , 1142 , 2044 ,    5 ,    5 , 2044 ,   913.5 ,   913.5 ,   117.5 ,   117.5 , -1019.5 ,  1019.5 ,  1019.5 , -1019.5
 NRCA5_GRISMR_WFSS_F460M_CS , 2178 , 2178 ,  856 ,  856 ,    5 , 2044 , 2044 ,    5 ,  1153.5 ,  1153.5 ,  -168.5 ,  -168.5 , -1019.5 ,  1019.5 ,  1019.5 , -1019.5
 NRCB5_GRISMR_WFSS_F460M_CS , 2164 , 2164 ,  848 ,  848 , 2044 ,    5 ,    5 , 2044 ,  1139.5 ,  1139.5 ,  -176.5 ,  -176.5 , -1019.5 ,  1019.5 ,  1019.5 , -1019.5
 NRCA5_GRISMR_WFSS_F480M_CS , 2178 , 2178 , 1115 , 1115 ,    5 , 2044 , 2044 ,    5 ,  1153.5 ,  1153.5 ,    90.5 ,    90.5 , -1019.5 ,  1019.5 ,  1019.5 , -1019.5
 NRCB5_GRISMR_WFSS_F480M_CS , 2164 , 2164 , 1107 , 1107 , 2044 ,    5 ,    5 , 2044 ,  1139.5 ,  1139.5 ,    82.5 ,    82.5 , -1019.5 ,  1019.5 ,  1019.5 , -1019.5
 NRCA5_GRISMC_WFSS_F250M_CS ,    5 ,    5 , 2044 , 2044 , 1529 , 2698 , 2698 , 1529 , -1019.5 , -1019.5 ,  1019.5 ,  1019.5 ,   504.5 ,  1673.5 ,  1673.5 ,   504.5
 NRCB5_GRISMC_WFSS_F250M_CS ,    5 ,    5 , 2044 , 2044 , 1529 , 2698 , 2698 , 1529 , -1019.5 , -1019.5 ,  1019.5 ,  1019.5 ,  -504.5 , -1673.5 , -1673.5 ,  -504.5
 NRCA5_GRISMC_WFSS_F277W_CS ,    5 ,    5 , 2044 , 2044 , 1536 , 2698 , 2698 , 1536 , -1019.5 , -1019.5 ,  1019.5 ,  1019.5 ,   511.5 ,  1673.5 ,  1673.5 ,   511.5
 NRCB5_GRISMC_WFSS_F277W_CS ,    5 ,    5 , 2044 , 2044 , 1536 , 2698 , 2698 , 1536 , -1019.5 , -1019.5 ,  1019.5 ,  1019.5 ,  -511.5 , -1673.5 , -1673.5 ,  -511.5
